district,province,Location_ID,nation
Ba Đình,Hà Nội,1,Vietnam
Hoàn Kiếm,Hà Nội,2,Vietnam
Tây Hồ,Hà Nội,3,Vietnam
Long Biên,Hà Nội,4,Vietnam
Cầu Giấy,Hà Nội,5,Vietnam
Đống Đa,Hà Nội,6,Vietnam
Hai Bà Trưng,Hà Nội,7,Vietnam
Hoàng Mai,Hà Nội,8,Vietnam
Thanh Xuân,Hà Nội,9,Vietnam
Sóc Sơn,Hà Nội,10,Vietnam
Đông Anh,Hà Nội,11,Vietnam
Gia Lâm,Hà Nội,12,Vietnam
Nam Từ Liêm,Hà Nội,13,Vietnam
Thanh Trì,Hà Nội,14,Vietnam
Bắc Từ Liêm,Hà Nội,15,Vietnam
Mê Linh,Hà Nội,16,Vietnam
Hà Đông,Hà Nội,17,Vietnam
Sơn Tây,Hà Nội,18,Vietnam
Ba Vì,Hà Nội,19,Vietnam
Phúc Thọ,Hà Nội,20,Vietnam
Đan Phượng,Hà Nội,21,Vietnam
Hoài Đức,Hà Nội,22,Vietnam
Quốc Oai,Hà Nội,23,Vietnam
Thạch Thất,Hà Nội,24,Vietnam
Chương Mỹ,Hà Nội,25,Vietnam
Thanh Oai,Hà Nội,26,Vietnam
Thường Tín,Hà Nội,27,Vietnam
Phú Xuyên,Hà Nội,28,Vietnam
Ứng Hòa,Hà Nội,29,Vietnam
Mỹ Đức,Hà Nội,30,Vietnam
5,Hồ Chí Minh,31,Vietnam
1,Hồ Chí Minh,32,Vietnam
12,Hồ Chí Minh,33,Vietnam
Gò Vấp,Hồ Chí Minh,34,Vietnam
Bình Thạnh,Hồ Chí Minh,35,Vietnam
Tân Bình,Hồ Chí Minh,36,Vietnam
Tân Phú,Hồ Chí Minh,37,Vietnam
Phú Nhuận,Hồ Chí Minh,38,Vietnam
Thủ Đức,Hồ Chí Minh,39,Vietnam
3,Hồ Chí Minh,40,Vietnam
10,Hồ Chí Minh,41,Vietnam
11,Hồ Chí Minh,42,Vietnam
4,Hồ Chí Minh,43,Vietnam
6,Hồ Chí Minh,44,Vietnam
8,Hồ Chí Minh,45,Vietnam
Bình Tân,Hồ Chí Minh,46,Vietnam
7,Hồ Chí Minh,47,Vietnam
Củ Chi,Hồ Chí Minh,48,Vietnam
Hóc Môn,Hồ Chí Minh,49,Vietnam
Bình Chánh,Hồ Chí Minh,50,Vietnam
Nhà Bè,Hồ Chí Minh,51,Vietnam
Cần Giờ,Hồ Chí Minh,52,Vietnam
