ID,PromotionID,CustomerID
11612112,63532148,KH038
15312873,36730019,KH002
17174118,35360098,KH017
19322299,85205240,KH045
20170305,62865607,KH039
23531427,13228731,KH029
25503481,18324589,KH026
26958713,61560741,KH043
27367607,80371012,KH017
28650881,86468775,KH013
30424374,86468775,KH016
34376104,24304089,KH022
36214756,33173143,KH033
39903319,28680733,KH039
40241540,49790146,KH012
51034270,11747510,KH025
51803415,32753941,KH021
52213923,52975663,KH004
52520389,14233873,KH029
55019976,74122309,KH025
57112619,23507397,KH049
57795187,68078130,KH048
59345523,56750222,KH003
59572598,49790146,KH047
60152440,18324589,KH030
60213850,13228731,KH041
60737196,22446352,KH043
61671222,86468775,KH022
62759248,36101415,KH019
63407748,64002659,KH023
64465991,90411400,KH022
65133135,22446352,KH027
70044351,50142572,KH044
70689319,61560741,KH018
71280924,56750222,KH037
71292067,48373596,KH026
71899590,13228731,KH044
73067856,40317707,KH042
73959486,32753941,KH006
74557906,56750222,KH023
75041212,74688642,KH013
75429096,56750222,KH032
75895901,18324589,KH033
76315304,36101415,KH046
77227269,71271613,KH002
77928391,52768982,KH041
78594294,52975663,KH046
79779655,22446352,KH007
80844706,80183056,KH012
84340195,14233873,KH046
85199190,62865607,KH043
85339476,24333990,KH015
87739397,34603711,KH048
87809959,49790146,KH022
91379594,70711284,KH010
91510964,95619260,KH047
92106598,87491303,KH046
95338812,48373596,KH020
98197676,74122309,KH001
98241427,79170796,KH006
98420854,95347876,KH014
