id,name,breadcrumbs,url_key,image_base_url,rating_average,review_count,quantity_sold,brand_name,current_seller,inventory_status,stock_item_qty,original_price,discount,URL_seller,Rating_seller,Seller_Type,Seller_Location
276003962,Nước tẩy trang bí đao Cocoon 500ml,"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/cham-soc-da-mat/c1582', 'name': 'Chăm sóc da mặt', 'category_id': 1582}, {'url': '/dung-dich-tay-trang/c11605', 'name': 'Dung dịch tẩy trang', 'category_id': 11605}, {'url': 'https://tiki.vn/nuoc-tay-trang-bi-dao-500ml-p276003962.html', 'name': 'Nước tẩy trang bí đao Cocoon 500ml', 'category_id': 0}]",nuoc-tay-trang-bi-dao-500ml-p276003962,https://salt.tikicdn.com/ts/product/9d/64/ac/68b50c018814da88eaf1b89f38ee6b4a.png,5.0,11,"{'text': 'Đã bán 7k', 'value': 7126}",The Cocoon Original Vietnam,Tiki Trading,available,1000,295000,0,https://tiki.vn/cua-hang/tiki-trading,,,
275970393,Nước dưỡng tóc tinh dầu bưởi Cocoon 140ml - NEW,"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/cham-soc-toc-da-dau/c1591', 'name': 'Chăm sóc tóc và da đầu', 'category_id': 1591}, {'url': '/duong-toc-u-toc/c7065', 'name': 'Dưỡng tóc, ủ tóc', 'category_id': 7065}, {'url': '/serum-dau-duong-toc/c11821', 'name': 'Serum, dầu dưỡng tóc', 'category_id': 11821}, {'url': '/duong-moc-toc/c68290', 'name': 'Dưỡng mọc tóc', 'category_id': 68290}, {'url': 'https://tiki.vn/nuoc-duong-toc-tinh-dau-buoi-140ml-new-p275970393.html', 'name': 'Nước dưỡng tóc tinh dầu bưởi Cocoon 140ml - NEW', 'category_id': 0}]",nuoc-duong-toc-tinh-dau-buoi-140ml-new-p275970393,https://salt.tikicdn.com/ts/product/98/2b/f6/89490cf05c030c3474e563aba409d10b.png,4.7,17,"{'text': 'Đã bán 9k', 'value': 9554}",The Cocoon Original Vietnam,Tiki Trading,available,1000,154688,0,https://tiki.vn/cua-hang/tiki-trading,,,
273598230,Máy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator ,"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/cham-soc-rang-mieng/c1625', 'name': 'Chăm sóc răng miệng', 'category_id': 1625}, {'url': '/may-tam-nuoc/c68324', 'name': 'Máy tăm nước', 'category_id': 68324}, {'url': '/may-tam-nuoc-cam-tay/c68327', 'name': 'Máy tăm nước cầm tay', 'category_id': 68327}, {'url': 'https://tiki.vn/may-tam-nuoc-khong-day-locknlock-cordless-oral-irrigator-p273598230.html', 'name': 'Máy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator ', 'category_id': 0}]",may-tam-nuoc-khong-day-locknlock-cordless-oral-irrigator-p273598230,https://salt.tikicdn.com/ts/product/14/30/51/1ea1a670dd4e1c98eab2bdf28d4f869e.jpg,4.7,1979,"{'text': 'Đã bán 11k', 'value': 11116}",LocknLock,Tiki Trading,available,1000,1263000,103000,https://tiki.vn/cua-hang/tiki-trading,,,
191680827,Kem chống nắng nâng tông kiềm dầu innisfree Tone Up No Sebum Sunscreen EX SPF 50+ PA++++ 60 mL (New 2023),"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/cham-soc-da-mat/c1582', 'name': 'Chăm sóc da mặt', 'category_id': 1582}, {'url': '/kem-chong-nang/c3422', 'name': 'Kem chống nắng', 'category_id': 3422}, {'url': 'https://tiki.vn/kem-chong-nang-nang-tong-kiem-dau-innisfree-tone-up-no-sebum-sunscreen-ex-spf-50-pa-60-ml-new-2023-p191680827.html', 'name': 'Kem chống nắng nâng tông kiềm dầu innisfree Tone Up No Sebum Sunscreen EX SPF 50+ PA++++ 60 mL (New 2023)', 'category_id': 0}]",kem-chong-nang-nang-tong-kiem-dau-innisfree-tone-up-no-sebum-sunscreen-ex-spf-50-pa-60-ml-new-2023-p191680827,https://salt.tikicdn.com/ts/product/7f/6d/54/860733d070430e2287391d34e3bfbbb3.jpg,4.8,140,"{'text': 'Đã bán 1k', 'value': 1512}",Innisfree,Tiki Trading,available,1000,450000,95000,https://tiki.vn/cua-hang/tiki-trading,,,
186434710,Túi chườm nóng thảo dược giảm đau nhức mỏi mắt dùng lò vi sóng - Hapaku,"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/may-massage-thiet-bi-cham-soc-suc-khoe/c2307', 'name': 'Máy Massage & Thiết bị chăm sóc sức khỏe', 'category_id': 2307}, {'url': '/tui-chuom/c11923', 'name': 'Túi chườm', 'category_id': 11923}, {'url': '/chuom-nong/c68192', 'name': 'Chườm nóng', 'category_id': 68192}, {'url': 'https://tiki.vn/tui-chuom-nong-thao-duoc-giam-dau-nhuc-moi-mat-dung-lo-vi-song-hapaku-p186434710.html', 'name': 'Túi chườm nóng thảo dược giảm đau nhức mỏi mắt dùng lò vi sóng - Hapaku', 'category_id': 0}]",tui-chuom-nong-thao-duoc-giam-dau-nhuc-moi-mat-dung-lo-vi-song-hapaku-p186434710,https://salt.tikicdn.com/ts/product/67/24/fc/c779443473e597c3857eb60482abacb5.png,4.7,283,"{'text': 'Đã bán 4k', 'value': 4999}",Hapaku,Hapaku Officialstore,available,1000,359000,0,https://tiki.vn/cua-hang/hapaku-officialstore,,,
179988643,Combo 2 Nước Rửa Tay Lifebuoy Chăm Sóc Da Giúp Dưỡng ẩm Mềm Mại Và Bảo Vệ Khỏi 99.9% Vi Khuẩn Trên Tay Chai 450G,"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/cham-soc-ca-nhan/c1594', 'name': 'Chăm sóc cá nhân', 'category_id': 1594}, {'url': '/cham-soc-tay-chan/c68589', 'name': 'Chăm sóc tay, chân', 'category_id': 68589}, {'url': '/nuoc-rua-tay/c68591', 'name': 'Nước rửa tay', 'category_id': 68591}, {'url': 'https://tiki.vn/combo-2-nuoc-rua-tay-lifebuoy-cham-soc-da-giup-duong-am-mem-mai-va-bao-ve-khoi-99-9-vi-khuan-tren-tay-chai-450g-p179988643.html', 'name': 'Combo 2 Nước Rửa Tay Lifebuoy Chăm Sóc Da Giúp Dưỡng ẩm Mềm Mại Và Bảo Vệ Khỏi 99.9% Vi Khuẩn Trên Tay Chai 450G', 'category_id': 0}]",combo-2-nuoc-rua-tay-lifebuoy-cham-soc-da-giup-duong-am-mem-mai-va-bao-ve-khoi-99-9-vi-khuan-tren-tay-chai-450g-p179988643,https://salt.tikicdn.com/ts/product/73/3a/0a/bc20e2d8505b04acda469839e4aaaa0f.png,5.0,151,"{'text': 'Đã bán 7k', 'value': 7420}",Lifebuoy,Tiki Trading,available,1000,170000,0,https://tiki.vn/cua-hang/tiki-trading,,,
177911621,Gương trang điểm để bàn có đèn LED Xiaomi Jordan Judy NV026 - Hàng Chính Hãng,"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/trang-diem/c1584', 'name': 'Trang điểm ', 'category_id': 1584}, {'url': '/dung-cu-trang-diem/c1589', 'name': 'Dụng cụ trang điểm', 'category_id': 1589}, {'url': '/guong-trang-diem/c8198', 'name': 'Gương trang điểm', 'category_id': 8198}, {'url': 'https://tiki.vn/guong-trang-diem-de-ban-co-den-led-xiaomi-jordan-judy-nv026-hang-chinh-hang-p177911621.html', 'name': 'Gương trang điểm để bàn có đèn LED Xiaomi Jordan Judy NV026 - Hàng Chính Hãng', 'category_id': 0}]",guong-trang-diem-de-ban-co-den-led-xiaomi-jordan-judy-nv026-hang-chinh-hang-p177911621,https://salt.tikicdn.com/ts/product/5d/c2/f2/606ba9d4118df884861b98b9d5c3a493.jpg,5.0,93,"{'text': 'Đã bán 700', 'value': 700}",Jordan&Judy,Mi Hoàng Gia,available,1000,169000,0,https://tiki.vn/cua-hang/mi-hoang-gia,,,
171564906,"Dầu gội Selsun chống gàu, sạch gàu & hết ngứa da đầu Selsun Anti-Dandruff Shampoo 250ml","[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/cham-soc-toc-da-dau/c1591', 'name': 'Chăm sóc tóc và da đầu', 'category_id': 1591}, {'url': '/dau-goi-dau-xa/c8222', 'name': 'Dầu gội, dầu xả', 'category_id': 8222}, {'url': '/dau-goi/c1613', 'name': 'Dầu Gội', 'category_id': 1613}, {'url': '/dau-goi-sach-gau/c68295', 'name': 'Dầu gội sạch gàu', 'category_id': 68295}, {'url': 'https://tiki.vn/dau-goi-selsun-chong-gau-sach-gau-het-ngua-da-dau-selsun-anti-dandruff-shampoo-250ml-p171564906.html', 'name': 'Dầu gội Selsun chống gàu, sạch gàu & hết ngứa da đầu Selsun Anti-Dandruff Shampoo 250ml', 'category_id': 0}]",dau-goi-selsun-chong-gau-sach-gau-het-ngua-da-dau-selsun-anti-dandruff-shampoo-250ml-p171564906,https://salt.tikicdn.com/ts/product/b6/5f/9f/74fb1cac9c0294f78cfb71320c08e0a2.jpg,4.8,446,"{'text': 'Đã bán 10k', 'value': 10637}",Selsun,Tiki Trading,available,1000,223000,42000,https://tiki.vn/cua-hang/tiki-trading,,,
168562118,Dung Dịch Vệ Sinh Nam X2 Manly - Làm sạch tức thì Lưu hương 24h dung tích 150g Cocayhoala,"[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/cham-soc-ca-nhan/c1594', 'name': 'Chăm sóc cá nhân', 'category_id': 1594}, {'url': '/dung-dich-ve-sinh/c1752', 'name': 'Dung dịch vệ sinh', 'category_id': 1752}, {'url': '/dung-dich-ve-sinh-nam/c68166', 'name': 'Dung dịch vệ sinh nam', 'category_id': 68166}, {'url': 'https://tiki.vn/dung-dich-ve-sinh-nam-x2-manly-lam-sach-tuc-thi-luu-huong-24h-dung-tich-150g-cocayhoala-p168562118.html', 'name': 'Dung Dịch Vệ Sinh Nam X2 Manly - Làm sạch tức thì Lưu hương 24h dung tích 150g Cocayhoala', 'category_id': 0}]",dung-dich-ve-sinh-nam-x2-manly-lam-sach-tuc-thi-luu-huong-24h-dung-tich-150g-cocayhoala-p168562118,https://salt.tikicdn.com/ts/product/9e/56/8a/bc1051c0ebf57aa97af66929d04e0b61.jpg,0.0,0,"{'text': 'Đã bán 9', 'value': 9}",COCAYHOALA,Minhlam Store,available,1000,149000,4500,https://tiki.vn/cua-hang/minhlam-store,,,
128912879,"Túi chườm bụng kinh 700ml, túi chườm nóng giảm đau bụng đau lưng nam tặng nữ","[{'url': '/lam-dep-suc-khoe/c1520', 'name': 'Làm Đẹp - Sức Khỏe', 'category_id': 1520}, {'url': '/may-massage-thiet-bi-cham-soc-suc-khoe/c2307', 'name': 'Máy Massage & Thiết bị chăm sóc sức khỏe', 'category_id': 2307}, {'url': '/tui-chuom/c11923', 'name': 'Túi chườm', 'category_id': 11923}, {'url': '/chuom-nong/c68192', 'name': 'Chườm nóng', 'category_id': 68192}, {'url': 'https://tiki.vn/tui-chuom-bung-kinh-700ml-tui-chuom-nong-giam-dau-bung-dau-lung-nam-tang-nu-p128912879.html', 'name': 'Túi chườm bụng kinh 700ml, túi chườm nóng giảm đau bụng đau lưng nam tặng nữ', 'category_id': 0}]",tui-chuom-bung-kinh-700ml-tui-chuom-nong-giam-dau-bung-dau-lung-nam-tang-nu-p128912879,https://salt.tikicdn.com/ts/product/81/7a/f0/f7abcac120248cf2b4a5794aa9306883.png,4.8,175,"{'text': 'Đã bán 1k', 'value': 1136}",PH PUHA,PH PUHA Official,available,1000,169000,0,https://tiki.vn/cua-hang/giay-tap-di-puha,,,
