id,name,url_key,url_product,image_base_url,rating_average,review_count,quantity_sold,brand_name,category,category_id,current_seller,inventory_status,stock_item_qty,original_price,discount,price,seller_rating,review_count_seller,url_seller,Seller_Type
276003962,Nước tẩy trang bí đao Cocoon 500ml,nuoc-tay-trang-bi-dao-500ml-p276003962,https://tiki.vn/nuoc-tay-trang-bi-dao-500ml-p276003962.html,https://salt.tikicdn.com/ts/product/9d/64/ac/68b50c018814da88eaf1b89f38ee6b4a.png,5.0,11,"{'text': 'Đã bán 7k', 'value': 7126}",The Cocoon Original Vietnam,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc da mặt', 'Dung dịch tẩy trang']","[1520, 1582, 11605]",Tiki Trading,available,1000,295000,0,295000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
275970393,Nước dưỡng tóc tinh dầu bưởi Cocoon 140ml - NEW,nuoc-duong-toc-tinh-dau-buoi-140ml-new-p275970393,https://tiki.vn/nuoc-duong-toc-tinh-dau-buoi-140ml-new-p275970393.html,https://salt.tikicdn.com/ts/product/98/2b/f6/89490cf05c030c3474e563aba409d10b.png,4.7,17,"{'text': 'Đã bán 9k', 'value': 9554}",The Cocoon Original Vietnam,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc tóc và da đầu', 'Dưỡng tóc, ủ tóc', 'Serum, dầu dưỡng tóc', 'Dưỡng mọc tóc']","[1520, 1591, 7065, 11821, 68290]",Tiki Trading,available,1000,154688,0,154688,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
273598230,Máy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator ,may-tam-nuoc-khong-day-locknlock-cordless-oral-irrigator-p273598230,https://tiki.vn/may-tam-nuoc-khong-day-locknlock-cordless-oral-irrigator-p273598230.html,https://salt.tikicdn.com/ts/product/14/30/51/1ea1a670dd4e1c98eab2bdf28d4f869e.jpg,4.7,1979,"{'text': 'Đã bán 11k', 'value': 11116}",LocknLock,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc răng miệng', 'Máy tăm nước', 'Máy tăm nước cầm tay']","[1520, 1625, 68324, 68327]",Tiki Trading,available,1000,1263000,253000,1010000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
191680827,Kem chống nắng nâng tông kiềm dầu innisfree Tone Up No Sebum Sunscreen EX SPF 50+ PA++++ 60 mL (New 2023),kem-chong-nang-nang-tong-kiem-dau-innisfree-tone-up-no-sebum-sunscreen-ex-spf-50-pa-60-ml-new-2023-p191680827,https://tiki.vn/kem-chong-nang-nang-tong-kiem-dau-innisfree-tone-up-no-sebum-sunscreen-ex-spf-50-pa-60-ml-new-2023-p191680827.html,https://salt.tikicdn.com/ts/product/7f/6d/54/860733d070430e2287391d34e3bfbbb3.jpg,4.8,140,"{'text': 'Đã bán 1k', 'value': 1512}",Innisfree,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc da mặt', 'Kem chống nắng']","[1520, 1582, 3422]",Tiki Trading,available,1000,450000,95000,355000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
186434710,Túi chườm nóng thảo dược giảm đau nhức mỏi mắt dùng lò vi sóng - Hapaku,tui-chuom-nong-thao-duoc-giam-dau-nhuc-moi-mat-dung-lo-vi-song-hapaku-p186434710,https://tiki.vn/tui-chuom-nong-thao-duoc-giam-dau-nhuc-moi-mat-dung-lo-vi-song-hapaku-p186434710.html,https://salt.tikicdn.com/ts/product/67/24/fc/c779443473e597c3857eb60482abacb5.png,4.7,283,"{'text': 'Đã bán 4k', 'value': 4999}",Hapaku,"['Làm Đẹp - Sức Khỏe', 'Máy Massage & Thiết bị chăm sóc sức khỏe', 'Túi chườm', 'Chườm nóng']","[1520, 2307, 11923, 68192]",Hapaku Officialstore,available,1000,359000,0,359000,4.6472,2092,https://tiki.vn/cua-hang/hapaku-officialstore,Hapaku Officialstore
179988643,Combo 2 Nước Rửa Tay Lifebuoy Chăm Sóc Da Giúp Dưỡng ẩm Mềm Mại Và Bảo Vệ Khỏi 99.9% Vi Khuẩn Trên Tay Chai 450G,combo-2-nuoc-rua-tay-lifebuoy-cham-soc-da-giup-duong-am-mem-mai-va-bao-ve-khoi-99-9-vi-khuan-tren-tay-chai-450g-p179988643,https://tiki.vn/combo-2-nuoc-rua-tay-lifebuoy-cham-soc-da-giup-duong-am-mem-mai-va-bao-ve-khoi-99-9-vi-khuan-tren-tay-chai-450g-p179988643.html,https://salt.tikicdn.com/ts/product/73/3a/0a/bc20e2d8505b04acda469839e4aaaa0f.png,5.0,151,"{'text': 'Đã bán 7k', 'value': 7420}",Lifebuoy,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc cá nhân', 'Chăm sóc tay, chân', 'Nước rửa tay']","[1520, 1594, 68589, 68591]",Tiki Trading,available,1000,170000,0,170000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
177911621,Gương trang điểm để bàn có đèn LED Xiaomi Jordan Judy NV026 - Hàng Chính Hãng,guong-trang-diem-de-ban-co-den-led-xiaomi-jordan-judy-nv026-hang-chinh-hang-p177911621,https://tiki.vn/guong-trang-diem-de-ban-co-den-led-xiaomi-jordan-judy-nv026-hang-chinh-hang-p177911621.html,https://salt.tikicdn.com/ts/product/5d/c2/f2/606ba9d4118df884861b98b9d5c3a493.jpg,5.0,93,"{'text': 'Đã bán 700', 'value': 700}",Jordan&Judy,"['Làm Đẹp - Sức Khỏe', 'Trang điểm ', 'Dụng cụ trang điểm', 'Gương trang điểm']","[1520, 1584, 1589, 8198]",Mi Hoàng Gia,available,1000,169000,0,169000,4.7019,6861,https://tiki.vn/cua-hang/mi-hoang-gia,Mi Hoàng Gia
171564906,"Dầu gội Selsun chống gàu, sạch gàu & hết ngứa da đầu Selsun Anti-Dandruff Shampoo 250ml",dau-goi-selsun-chong-gau-sach-gau-het-ngua-da-dau-selsun-anti-dandruff-shampoo-250ml-p171564906,https://tiki.vn/dau-goi-selsun-chong-gau-sach-gau-het-ngua-da-dau-selsun-anti-dandruff-shampoo-250ml-p171564906.html,https://salt.tikicdn.com/ts/product/b6/5f/9f/74fb1cac9c0294f78cfb71320c08e0a2.jpg,4.8,446,"{'text': 'Đã bán 10k', 'value': 10637}",Selsun,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc tóc và da đầu', 'Dầu gội, dầu xả', 'Dầu Gội', 'Dầu gội sạch gàu']","[1520, 1591, 8222, 1613, 68295]",Tiki Trading,available,1000,223000,42000,181000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
168562118,Dung Dịch Vệ Sinh Nam X2 Manly - Làm sạch tức thì Lưu hương 24h dung tích 150g Cocayhoala,dung-dich-ve-sinh-nam-x2-manly-lam-sach-tuc-thi-luu-huong-24h-dung-tich-150g-cocayhoala-p168562118,https://tiki.vn/dung-dich-ve-sinh-nam-x2-manly-lam-sach-tuc-thi-luu-huong-24h-dung-tich-150g-cocayhoala-p168562118.html,https://salt.tikicdn.com/ts/product/9e/56/8a/bc1051c0ebf57aa97af66929d04e0b61.jpg,0.0,0,"{'text': 'Đã bán 9', 'value': 9}",COCAYHOALA,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc cá nhân', 'Dung dịch vệ sinh', 'Dung dịch vệ sinh nam']","[1520, 1594, 1752, 68166]",Minhlam Store,available,1000,149000,4500,144500,4.1671,2627,https://tiki.vn/cua-hang/minhlam-store,Minhlam Store
128912879,"Túi chườm bụng kinh 700ml, túi chườm nóng giảm đau bụng đau lưng nam tặng nữ",tui-chuom-bung-kinh-700ml-tui-chuom-nong-giam-dau-bung-dau-lung-nam-tang-nu-p128912879,https://tiki.vn/tui-chuom-bung-kinh-700ml-tui-chuom-nong-giam-dau-bung-dau-lung-nam-tang-nu-p128912879.html,https://salt.tikicdn.com/ts/product/81/7a/f0/f7abcac120248cf2b4a5794aa9306883.png,4.8,175,"{'text': 'Đã bán 1k', 'value': 1136}",PH PUHA,"['Làm Đẹp - Sức Khỏe', 'Máy Massage & Thiết bị chăm sóc sức khỏe', 'Túi chườm', 'Chườm nóng']","[1520, 2307, 11923, 68192]",PH PUHA Official,available,1000,169000,0,169000,4.7119,1909,https://tiki.vn/cua-hang/giay-tap-di-puha,PH PUHA Official
121485349,"[Nhập Coupon giảm ngay 50K]Bàn Chải Điện P/S S100 PRO - Công Nghệ Sóng Âm, Chải Sạch Mảng Bám Tới 10X - Trắng Sáng",ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-chai-sach-mang-bam-toi-10x-trang-sang-p121485349,https://tiki.vn/ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-chai-sach-mang-bam-toi-10x-trang-sang-p121485349.html,https://salt.tikicdn.com/ts/product/1c/d4/59/973c2cb3a80570ae746d4942673f436e.png,4.7,937,"{'text': 'Đã bán 4k', 'value': 4108}",P/S,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc răng miệng', 'Bàn chải đánh răng', 'Bàn chải điện', 'Thân bàn chải điện', 'Bàn chải điện sóng âm']","[1520, 1625, 11833, 53348, 68303, 68308]",Tiki Trading,available,1000,1300006,451006,849000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
118708687,Máy Đo Nồng Độ Oxy Trong Máu và Nhịp Tim Dạng Kẹp Ngón Tay KINGTECH PULSE SPO2 - Hàng Chuẩn,may-do-nong-do-oxy-trong-mau-va-nhip-tim-dang-kep-ngon-tay-kingtech-pulse-spo2-hang-chuan-p118708687,https://tiki.vn/may-do-nong-do-oxy-trong-mau-va-nhip-tim-dang-kep-ngon-tay-kingtech-pulse-spo2-hang-chuan-p118708687.html,https://salt.tikicdn.com/ts/product/25/32/0d/9dec64856bce74d8bb6a58804a797c5b.jpg,4.8,1459,"{'text': 'Đã bán 6k', 'value': 6205}",KINGTECH,"['Làm Đẹp - Sức Khỏe', 'Máy Massage & Thiết bị chăm sóc sức khỏe', 'Dụng cụ theo dõi sức khỏe', 'Máy đo nồng độ oxy máu']","[1520, 2307, 11903, 11907]",KING TECH OFFICIAL STORE,available,1000,495000,245000,250000,4.6728,7711,https://tiki.vn/cua-hang/king-tech-official-store,KING TECH OFFICIAL STORE
108535251,Bao cao su Sagami 002 - Siêu mỏng - Non Latex - Hộp 6 chiếc,bao-cao-su-sagami-002-sieu-mong-non-latex-hop-6-chiec-p108535251,https://tiki.vn/bao-cao-su-sagami-002-sieu-mong-non-latex-hop-6-chiec-p108535251.html,https://salt.tikicdn.com/ts/product/63/cd/80/5f169562fdde38545c7fd66f34038004.png,4.3,4,"{'text': 'Đã bán 59', 'value': 59}",Sagami,"['Làm Đẹp - Sức Khỏe', 'Hỗ trợ tình dục', 'Bao cao su']","[1520, 8142, 1630]",Thiết bị y tế Gia Đình HME,available,1000,218000,3000,215000,4.6933,6194,https://tiki.vn/cua-hang/thiet-bi-y-te-gia-dinh-hme,Thiết bị y tế Gia Đình HME
95253531,"Combo Dầu gội, Dầu xả & Kem ủ TRESEMME Keratin Smooth Dưỡng tóc vào nếp suôn mượt vào nếp suôn mượt Công thức chuẩn salon Hydrolyzed Keratin 640g, 620g, 180ml",combo-dau-goi-dau-xa-kem-u-tresemme-keratin-smooth-duong-toc-vao-nep-suon-muot-vao-nep-suon-muot-cong-thuc-chuan-salon-hydrolyzed-keratin-640g-620g-180ml-p95253531,https://tiki.vn/combo-dau-goi-dau-xa-kem-u-tresemme-keratin-smooth-duong-toc-vao-nep-suon-muot-vao-nep-suon-muot-cong-thuc-chuan-salon-hydrolyzed-keratin-640g-620g-180ml-p95253531.html,https://salt.tikicdn.com/ts/product/b3/9f/52/16798c98b16f860ab175b29278b23bd7.png,4.7,478,"{'text': 'Đã bán 4k', 'value': 4086}",TRESemmé,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc tóc và da đầu', 'Dầu gội, dầu xả', 'Dầu Gội', 'Dầu gội bóng mượt, phục hồi hư tổn']","[1520, 1591, 8222, 1613, 68293]",Tiki Trading,available,1000,640000,190000,450000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
93078800,Combo 2 Nước rửa tay Lifebuoy bạc bảo vệ túi 400g,combo-2-nuoc-rua-tay-lifebuoy-bac-bao-ve-tui-450g-p93078800,https://tiki.vn/combo-2-nuoc-rua-tay-lifebuoy-bac-bao-ve-tui-450g-p93078800.html,https://salt.tikicdn.com/ts/product/13/6f/6d/a7dcbced76ccb93fdc7955092d3e1d1c.png,5.0,419,"{'text': 'Đã bán 7k', 'value': 7914}",Lifebuoy,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc cá nhân', 'Chăm sóc tay, chân', 'Nước rửa tay']","[1520, 1594, 68589, 68591]",Tiki Trading,available,1000,118000,0,118000,4.674,5532472,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading
91565733,Chỉ nha khoa SGS nhập khẩu Hàn Quốc - 500D hương bạc hà mới,chi-nha-khoa-sgs-nhap-khau-han-quoc-500d-huong-bac-ha-moi-p91565733,https://tiki.vn/chi-nha-khoa-sgs-nhap-khau-han-quoc-500d-huong-bac-ha-moi-p91565733.html,https://salt.tikicdn.com/ts/product/9f/10/0b/d5bf6624a5e6400b4bc61679b15b9ec2.jpg,4.8,53,"{'text': 'Đã bán 480', 'value': 480}",SGS,"['Làm Đẹp - Sức Khỏe', 'Chăm sóc răng miệng', 'Chỉ, tăm nha khoa', 'Chỉ nha khoa']","[1520, 1625, 68319, 1628]",KWHOUSE STORE,available,1000,70000,35000,35000,4.7771,1180,https://tiki.vn/cua-hang/kwhouse-store,KWHOUSE STORE
