,ID,PromoName,ProductID,Discount_rate,DateStart,DateEnd,PlatformID
0,49592333,Make anyone past model.,275851525G41,27.39,2024-03-21,2024-04-13,
1,11274816,Example pretty worry.,274253808G41,30.38,2024-03-27,2024-04-17,
2,92432998,Paper.,263103233G40,48.9,2024-06-16,2024-07-05,
3,16872674,Relationship enough.,23611674G39,7.44,2024-04-21,2024-05-06,
4,44317685,Give.,66566234G40,17.19,2024-12-06,2024-12-14,
5,68046673,Baby myself.,101044184G39,34.59,2024-03-02,2024-03-13,
6,77070304,Edge per.,275790736G41,31.01,2024-10-12,2024-11-04,
7,25621748,Study change PM usually.,277375839G39,24.47,2024-08-03,2024-08-14,
8,96710537,Industry audience.,21056227G40,33.92,2024-06-19,2024-06-29,
9,21988830,Almost free.,149147409G41,11.18,2024-05-22,2024-06-06,
10,72398872,Evidence always clearly.,195536360G40,40.02,2024-07-11,2024-08-09,
11,15853669,They war.,276675123G41,46.29,2024-10-23,2024-11-10,
12,70839625,Financial time.,276006183G41,33.22,2025-01-20,2025-02-01,
13,98307814,Rate dinner summer.,273804988G40,39.03,2024-09-26,2024-10-18,
14,26595715,Evidence item.,272362226G40,32.3,2024-04-26,2024-05-06,
15,46348236,That economy.,271985775G40,32.04,2024-09-25,2024-10-21,
16,82876740,Pick fund wind.,16862053G40,37.17,2024-03-05,2024-03-17,
17,93007216,Picture.,208885993G40,11.15,2024-07-04,2024-07-15,
18,48656056,Opportunity especially.,273837299G40,14.53,2024-12-19,2025-01-12,
19,30948757,Catch.,200763560G39,39.85,2024-12-03,2024-12-10,
20,85930608,Always boy.,192741821G40,40.57,2024-04-10,2024-05-10,
21,21783635,Standard unit past my.,274428979G40,37.53,2024-06-04,2024-06-15,
22,12251803,It maybe.,277274418G40,36.55,2024-06-18,2024-07-08,
23,53293785,Lose improve free animal.,273659296G39,29.31,2024-09-07,2024-09-18,
24,54613764,Trade eat five sport.,249970641G41,45.66,2024-09-11,2024-09-25,
25,66182525,Financial present.,177750603G41,43.87,2024-12-16,2025-01-14,
26,59845175,Better reflect.,251396215G39,14.48,2024-09-30,2024-10-18,
27,49729007,Once work.,276103505G41,31.01,2024-03-28,2024-04-13,
28,98125354,Attack author.,163928160G39,13.15,2024-03-21,2024-04-15,
