Product_ID,Product_name,Description,brand_name,price
52228079,Giày Sandal Nữ BIGGBEN Da Bò Thật SDN51,"Sandal Nữ với chất liệu da bò bền đẹp kết hợp đế êm nhẹ giúp bạn Nữ luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay đi dự tiệc.Sandal Nữ được xử lý đặc biệt để tạo độ bóng mờ, Phon...",BIGGBEN,329000
177772556,"Giày sandal nữ BIGGBEN cao 4,5cm SDN75","Chất Liệu :Da tổng hợpKích Thước :từ 35 đến 40Đế Cao : 4,5 cmSản phẩm được bảo hành 1 năm HƯỚNG DẪN BẢO QUẢNBảo quản nơi thoáng mátTránh tiếp xúc hóa chất mạnhGiày bị ướt phơi khô nơi ...",BIGGBEN,349000
171201432,Giày sandal nữ dây Giavy SK109,"       GIÀY QUAI HẬU NỮ   Thương hiệu độc quyền : GIAVY.   Xuất xứ: Việt Nam.   Mã sản phẩm: SK109   Kiểu dáng: sandal 1 dây ngang thắt bím, đế bệt .   Chất liệu quai dù mềm êm chân, đườn...",GIAVY,195000
153010212,Giày sandal nữ dây Giavy SK109,"       GIÀY QUAI HẬU NỮ   Thương hiệu độc quyền : GIAVY.   Xuất xứ: Việt Nam.   Mã sản phẩm: SK109   Kiểu dáng: sandal 1 dây ngang thắt bím, đế bệt .   Chất liệu quai dù mềm êm chân, đườn...",GIAVY,195000
42737212,Giày sandal nữ TLG 20799-1,"Giày sandal nữ TLG 20799-1 với thiết kế trẻ trung nữ tính cực kì phù hợp với những bạn nữ yêu thích phong cách nhẹ nhàng, quý phái.Giày được gia công tinh tế từ chất liệu da tổng hợp mềm mịn, bóng ...",TLG Thành Long,150200
153010553,Giày sandal dây nữ Giavy SK377,"  GIÀY QUAI HẬU NỮ   Thương hiệu độc quyền : GIAVY.   Xuất xứ: Việt Nam.   Mã sản phẩm: SK377   Kiểu dáng: sandal hậu dán, đế bệt .   Chất liệu quai dù mềm êm chân, đường may tỉ mỉ.   Đế ca...",GIAVY,195000
42737104,Giày sandal nữ TLG 20615-8,"Giày sandal nữ TLG 20615-8 với thiết kế trẻ trung nữ tính cực kì phù hợp với những bạn nữ yêu thích phong cách nhẹ nhàng, quý phái.Giày được gia công tinh tế từ chất liệu da tổng hợp mềm mịn, bóng ...",TLG Thành Long,150200
112958887,giầy sandal nữ thời trang sành điệu 21828,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,150000
276670235,Giày sandal quai ngang 1F PN15018,"Giày sandal quai ngang 1F PN15018----------  1. THÔNG TIN SẢN PHẨM:Chiều cao phù hợp để làm các nàng dễ dàng di chuyển. Hai đôi giày phù hợp cho nàng phối với những chiếc váy xèo hoa, váy,...Ngoài ...",PABNO,285000
42737023,Giày sandal nữ TLG 20716-5,"Giày sandal nữ TLG 20716-5 với thiết kế trẻ trung nữ tính cực kì phù hợp với những bạn nữ yêu thích phong cách nhẹ nhàng, quý phái.Giày được gia công tinh tế từ chất liệu da tổng hợp mềm mịn, bóng ...",TLG Thành Long,150200
