ID,CustomerID,TotalPrice,Date,paymentMethod,PlatformID
DH001,KH014,774452.00,2023-10-12,cash,SENDO
DH002,KH014,809908.00,2023-05-13,credit_card,SENDO
DH003,KH019,850582.00,2023-08-25,credit_card,SENDO
DH004,KH026,167139.00,2023-04-20,cash,LAZADA
DH005,KH021,743320.00,2023-06-12,momo,SENDO
DH006,KH007,529496.00,2024-06-18,credit_card,LAZADA
DH007,KH044,260113.00,2023-11-01,cash,SENDO
DH008,KH014,419633.00,2023-08-31,credit_card,SENDO
DH009,KH003,208314.00,2024-05-28,cash,LAZADA
DH010,KH016,714869.00,2024-08-16,cash,TIKI
DH011,KH010,911904.00,2024-05-31,credit_card,SENDO
DH012,KH001,308244.00,2023-03-26,cash,LAZADA
DH013,KH007,335816.00,2024-03-22,credit_card,TIKI
DH014,KH014,562070.00,2023-07-26,momo,SENDO
DH015,KH036,948187.00,2023-09-05,momo,LAZADA
DH016,KH028,303857.00,2023-08-19,cash,LAZADA
DH017,KH028,516005.00,2023-11-21,cash,TIKI
DH018,KH004,652048.00,2025-01-18,momo,LAZADA
DH019,KH032,578727.00,2023-03-29,cash,LAZADA
DH020,KH030,732566.00,2023-06-25,credit_card,TIKI
DH021,KH011,290595.00,2023-10-03,credit_card,LAZADA
DH022,KH050,854477.00,2023-05-24,cash,SENDO
DH023,KH003,308040.00,2024-10-30,credit_card,LAZADA
DH024,KH045,843289.00,2024-05-21,cash,TIKI
DH025,KH003,182528.00,2023-06-05,cash,LAZADA
DH026,KH012,687779.00,2024-09-20,cash,TIKI
DH027,KH002,848326.00,2024-04-13,credit_card,SENDO
DH028,KH028,637030.00,2023-04-07,credit_card,TIKI
DH029,KH009,386669.00,2023-07-27,cash,SENDO
DH030,KH006,927495.00,2024-04-08,credit_card,SENDO
DH031,KH014,142457.00,2023-09-17,cash,SENDO
DH032,KH036,387144.00,2024-05-22,credit_card,LAZADA
DH033,KH004,159352.00,2024-03-01,credit_card,LAZADA
DH034,KH020,802191.00,2024-04-10,cash,SENDO
DH035,KH041,554993.00,2024-01-02,momo,TIKI
DH036,KH012,884486.00,2024-06-24,momo,SENDO
DH037,KH046,627165.00,2024-05-23,momo,SENDO
DH038,KH033,792014.00,2023-03-24,momo,LAZADA
DH039,KH048,305102.00,2024-12-17,momo,TIKI
DH040,KH016,169671.00,2024-02-01,credit_card,LAZADA
DH041,KH031,701433.00,2024-10-03,cash,TIKI
DH042,KH046,240250.00,2023-09-25,credit_card,TIKI
DH043,KH028,289179.00,2024-11-13,momo,LAZADA
DH044,KH031,888427.00,2024-11-17,momo,LAZADA
DH045,KH029,656419.00,2025-01-16,momo,TIKI
DH046,KH038,854013.00,2023-12-23,credit_card,SENDO
DH047,KH025,160524.00,2023-10-04,cash,TIKI
DH048,KH046,249277.00,2024-08-22,credit_card,TIKI
DH049,KH037,692142.00,2023-09-13,credit_card,LAZADA
DH050,KH029,166981.00,2023-04-18,cash,LAZADA
DH051,KH024,438172.00,2024-03-16,cash,SENDO
DH052,KH004,922507.00,2024-07-14,momo,SENDO
DH053,KH025,410203.00,2024-03-17,cash,TIKI
DH054,KH011,326263.00,2023-08-10,credit_card,LAZADA
DH055,KH039,770106.00,2023-03-03,momo,LAZADA
DH056,KH043,999392.00,2024-01-31,cash,SENDO
DH057,KH007,471575.00,2024-12-05,momo,TIKI
DH058,KH001,327767.00,2023-10-26,momo,SENDO
DH059,KH030,891280.00,2023-06-04,cash,SENDO
DH060,KH008,550823.00,2024-12-10,credit_card,LAZADA
DH061,KH007,233654.00,2023-10-23,credit_card,LAZADA
DH062,KH042,287515.00,2023-10-20,credit_card,TIKI
DH063,KH007,642826.00,2023-10-22,cash,SENDO
DH064,KH007,839384.00,2024-03-07,momo,TIKI
DH065,KH048,776026.00,2024-11-02,momo,LAZADA
DH066,KH034,982589.00,2025-01-15,cash,LAZADA
DH067,KH011,157665.00,2023-02-28,credit_card,LAZADA
DH068,KH021,996740.00,2023-05-06,momo,TIKI
DH069,KH006,378129.00,2023-09-06,momo,SENDO
DH070,KH013,500157.00,2025-02-16,credit_card,TIKI
DH071,KH013,590672.00,2023-09-20,credit_card,TIKI
DH072,KH037,978218.00,2024-01-12,credit_card,TIKI
DH073,KH022,115998.00,2024-09-19,cash,LAZADA
DH074,KH043,454960.00,2024-01-26,cash,LAZADA
DH075,KH038,463667.00,2024-02-07,momo,SENDO
DH076,KH043,136321.00,2023-02-27,credit_card,LAZADA
DH077,KH047,822257.00,2024-07-03,credit_card,TIKI
