ID,PromoName,ProductID,Discount_rate,DateStart,DateEnd,PlatformID
0,Make anyone past model.,275851525G41,27.39,2024-03-21,2024-04-13,
1,Example pretty worry.,274253808G41,30.38,2024-03-27,2024-04-17,
2,Paper.,263103233G40,48.9,2024-06-16,2024-07-05,
3,Relationship enough.,23611674G39,7.44,2024-04-21,2024-05-06,
4,Give.,66566234G40,17.19,2024-12-06,2024-12-14,
5,Baby myself.,101044184G39,34.59,2024-03-02,2024-03-13,
6,Edge per.,275790736G41,31.01,2024-10-12,2024-11-04,
7,Study change PM usually.,277375839G39,24.47,2024-08-03,2024-08-14,
8,Industry audience.,21056227G40,33.92,2024-06-19,2024-06-29,
9,Almost free.,149147409G41,11.18,2024-05-22,2024-06-06,
10,Evidence always clearly.,195536360G40,40.02,2024-07-11,2024-08-09,
11,They war.,276675123G41,46.29,2024-10-23,2024-11-10,
12,Financial time.,276006183G41,33.22,2025-01-20,2025-02-01,
13,Rate dinner summer.,273804988G40,39.03,2024-09-26,2024-10-18,
14,Evidence item.,272362226G40,32.3,2024-04-26,2024-05-06,
15,That economy.,271985775G40,32.04,2024-09-25,2024-10-21,
16,Pick fund wind.,16862053G40,37.17,2024-03-05,2024-03-17,
17,Picture.,208885993G40,11.15,2024-07-04,2024-07-15,
18,Opportunity especially.,273837299G40,14.53,2024-12-19,2025-01-12,
19,Catch.,200763560G39,39.85,2024-12-03,2024-12-10,
20,Always boy.,192741821G40,40.57,2024-04-10,2024-05-10,
21,Standard unit past my.,274428979G40,37.53,2024-06-04,2024-06-15,
22,It maybe.,277274418G40,36.55,2024-06-18,2024-07-08,
23,Lose improve free animal.,273659296G39,29.31,2024-09-07,2024-09-18,
24,Trade eat five sport.,249970641G41,45.66,2024-09-11,2024-09-25,
25,Financial present.,177750603G41,43.87,2024-12-16,2025-01-14,
26,Better reflect.,251396215G39,14.48,2024-09-30,2024-10-18,
27,Once work.,276103505G41,31.01,2024-03-28,2024-04-13,
28,Attack author.,163928160G39,13.15,2024-03-21,2024-04-15,
29,Issue.,116296537G41,25.68,2024-10-21,2024-11-08,
30,Energy part.,276610649G41,19.61,2024-10-10,2024-10-17,
31,Call high.,217426433G41,28.26,2025-01-15,2025-02-09,
32,Quickly newspaper until.,276008215G41,22.9,2024-11-03,2024-11-23,
33,Sell hope.,177260090G39,20.68,2024-10-09,2024-10-19,
34,This.,195528473G40,35.1,2024-05-15,2024-06-05,
35,Song.,158868257G39,29.63,2025-02-18,2025-03-19,
36,Often issue.,59207075G40,12.74,2024-08-18,2024-09-10,
37,Type message.,42685495G41,30.52,2024-05-26,2024-06-07,
38,Region.,195528473G40,38.33,2025-01-21,2025-02-07,
39,He.,38160273G40,10.84,2024-07-24,2024-08-21,
40,Statement by look.,270306516G40,11.21,2024-10-12,2024-11-01,
41,Stop charge.,276183351G41,9.7,2025-01-22,2025-02-03,
42,Cell hospital relate.,199268671G41,14.45,2024-09-25,2024-10-02,
43,Close class sea.,21060256G41,14.99,2024-05-02,2024-05-09,
44,Attention concern.,217564040G40,47.39,2024-09-17,2024-09-26,
45,Bit.,251396215G39,24.02,2024-03-06,2024-03-22,
46,Seven which.,276838257G40,6.21,2024-09-29,2024-10-15,
47,Themselves real bed box.,274256921G39,16.13,2024-09-12,2024-09-22,
48,Law cover customer position.,274838774G41,18.17,2025-01-09,2025-01-29,
49,Note safe.,5517433G39,12.52,2024-06-22,2024-07-10,
50,Edge dark begin.,274347242G39,47.86,2024-04-11,2024-04-19,
51,Probably meet.,276025651G39,21.13,2024-08-29,2024-09-27,
52,Read just soon.,274256921G39,36.84,2024-10-23,2024-11-21,
53,In.,195528889G40,29.38,2025-01-09,2025-02-05,
54,Dog.,112827241G41,12.66,2024-10-08,2024-11-03,
55,Amount certainly.,277280170G41,41.66,2024-07-02,2024-07-14,
56,Church successful a.,273637119G39,24.34,2024-05-20,2024-06-01,
57,Past.,273056402G41,48.33,2024-10-15,2024-11-12,
58,Season quality.,8005362G41,10.63,2024-10-14,2024-11-05,
59,Media.,116298169G39,10.79,2024-06-18,2024-07-05,
60,Idea approach thank.,249935663G40,37.03,2024-10-17,2024-11-09,
61,Sort future consumer.,171202909G40,23.2,2024-07-29,2024-08-08,
62,College assume single.,277275542G40,22.8,2024-08-06,2024-08-24,
63,Three sister.,42685827G39,41.93,2024-05-31,2024-06-23,
