ID,ProductID,ImportQuantity,Date
1,119273550S,7,2024-09-18
2,119273550M,34,2024-10-04
3,119273550L,13,2024-06-08
4,119272629S,31,2023-10-03
5,119272629M,47,2023-11-07
6,119272629L,57,2023-03-20
7,119273491S,27,2024-02-16
8,119273491M,98,2023-07-22
9,119273491L,13,2024-01-16
10,119272915S,30,2023-09-03
11,119272915M,54,2024-02-26
12,119272915L,52,2024-09-24
13,117839035S,86,2023-12-21
14,117839035M,63,2023-04-19
15,117839035L,57,2024-05-31
16,117849858S,56,2023-06-09
17,117849858M,61,2023-10-01
18,117849858L,61,2023-03-02
19,117847270S,100,2024-08-24
20,117847270M,60,2023-09-06
21,117847270L,21,2024-03-04
22,117843902S,78,2024-06-18
23,117843902M,96,2024-12-03
24,117843902L,9,2023-11-09
25,117841762S,95,2024-07-10
26,117841762M,46,2024-02-06
27,117841762L,8,2023-06-22
28,119418239S,76,2023-08-10
29,119418239M,39,2024-05-30
30,119418239L,41,2024-08-01
31,117645742S,83,2023-08-13
32,117645742M,37,2023-07-28
33,117645742L,84,2025-01-20
34,117644485S,49,2023-07-28
35,117644485M,73,2024-01-07
36,117644485L,10,2023-10-02
37,117773994S,2,2024-10-09
38,117773994M,84,2024-06-11
39,117773994L,81,2023-05-21
40,117773345S,89,2023-03-23
41,117773345M,51,2024-12-12
42,117773345L,6,2023-11-01
43,117773319S,95,2023-08-22
44,117773319M,87,2024-01-04
45,117773319L,71,2023-03-20
46,117761715S,78,2024-03-30
47,117761715M,77,2024-01-20
48,117761715L,21,2023-05-12
49,117773763S,21,2024-06-06
50,117773763M,22,2024-02-06
51,117773763L,32,2024-04-17
52,117773721S,67,2024-01-03
53,117773721M,58,2024-06-17
54,117773721L,12,2023-09-07
55,117743840S,97,2024-12-28
56,117743840M,63,2024-01-05
57,117743840L,27,2025-02-14
58,117773891S,99,2024-02-26
59,117773891M,62,2023-03-18
60,117773891L,32,2023-03-26
61,117773872S,96,2024-03-17
62,117773872M,83,2024-09-02
63,117773872L,65,2024-06-01
64,117773605S,5,2024-06-25
65,117773605M,72,2025-02-11
66,117773605L,75,2024-05-30
67,117803093S,32,2023-05-28
68,117803093M,11,2024-01-22
69,117803093L,35,2024-11-27
70,116515329S,67,2023-03-09
71,116515329M,85,2025-02-16
72,116515329L,58,2024-02-03
73,117281015S,30,2024-12-28
74,117281015M,74,2023-05-15
75,117281015L,43,2024-08-16
76,117869483S,24,2024-04-12
77,117869483M,50,2024-11-09
78,117869483L,75,2023-04-08
79,117088445S,2,2024-07-22
80,117088445M,71,2024-11-11
81,117088445L,64,2023-11-19
82,116581516S,57,2024-09-20
83,116581516M,99,2024-06-01
84,116581516L,49,2024-05-11
85,118437949S,91,2025-02-18
86,118437949M,29,2023-11-12
87,118437949L,30,2025-02-12
88,118019290S,3,2023-11-23
89,118019290M,96,2024-01-14
90,118019290L,62,2023-10-19
