ID,ProductID,InStock_Quantity
1,119273550S,96
2,119273550M,69
3,119273550L,100
4,119272629S,53
5,119272629M,10
6,119272629L,51
7,119273491S,37
8,119273491M,4
9,119273491L,43
10,119272915S,37
11,119272915M,33
12,119272915L,47
13,117839035S,46
14,117839035M,26
15,117839035L,55
16,117849858S,6
17,117849858M,96
18,117849858L,61
19,117847270S,4
20,117847270M,76
21,117847270L,3
22,117843902S,75
23,117843902M,25
24,117843902L,76
25,117841762S,62
26,117841762M,9
27,117841762L,8
28,119418239S,34
29,119418239M,100
30,119418239L,74
31,117645742S,20
32,117645742M,59
33,117645742L,92
34,117644485S,82
35,117644485M,89
36,117644485L,79
37,117773994S,56
38,117773994M,11
39,117773994L,71
40,117773345S,56
41,117773345M,7
42,117773345L,70
43,117773319S,34
44,117773319M,89
45,117773319L,100
46,117761715S,31
47,117761715M,75
48,117761715L,59
49,117773763S,94
50,117773763M,33
51,117773763L,13
52,117773721S,7
53,117773721M,60
54,117773721L,68
55,117743840S,60
56,117743840M,50
57,117743840L,100
58,117773891S,70
59,117773891M,62
60,117773891L,36
61,117773872S,49
62,117773872M,76
63,117773872L,6
64,117773605S,19
65,117773605M,86
66,117773605L,46
67,117803093S,47
68,117803093M,43
69,117803093L,67
70,116515329S,67
71,116515329M,75
72,116515329L,18
73,117281015S,35
74,117281015M,67
75,117281015L,35
76,117869483S,81
77,117869483M,8
78,117869483L,24
79,117088445S,56
80,117088445M,22
81,117088445L,3
82,116581516S,43
83,116581516M,44
84,116581516L,99
85,118437949S,28
86,118437949M,21
87,118437949L,74
88,118019290S,83
89,118019290M,78
90,118019290L,96
91,114093966S,83
92,114093966M,33
93,114093966L,82
94,114083211S,57
95,114083211M,21
96,114083211L,99
97,115997956S,27
98,115997956M,59
99,115997956L,15
100,115997961S,91
101,115997961M,50
102,115997961L,48
103,114113499S,79
104,114113499M,96
105,114113499L,10
106,115265465S,50
107,115265465M,15
108,115265465L,53
109,115265437S,3
110,115265437M,92
111,115265437L,26
112,115265605S,48
113,115265605M,33
114,115265605L,83
115,115265614S,40
116,115265614M,79
117,115265614L,44
118,114159237S,29
119,114159237M,22
120,114159237L,47
121,114230081S,82
122,114230081M,65
123,114230081L,29
124,114081563S,51
125,114081563M,7
126,114081563L,60
127,114086406S,56
128,114086406M,30
129,114086406L,40
130,114149840S,56
131,114149840M,81
132,114149840L,26
133,114086296S,56
134,114086296M,9
135,114086296L,52
136,114159201S,79
137,114159201M,57
138,114159201L,75
139,115998371S,1
140,115998371M,67
141,115998371L,60
142,114159642S,58
143,114159642M,51
144,114159642L,38
145,95123172S,79
146,95123172M,77
147,95123172L,75
148,95016880S,10
149,95016880M,14
150,95016880L,61
151,114081608S,23
152,114081608M,96
153,114081608L,44
154,114149822S,39
155,114149822M,19
156,114149822L,38
157,114048352S,50
158,114048352M,75
159,114048352L,58
160,114035255S,51
161,114035255M,60
162,114035255L,8
163,95016869S,6
164,95016869M,50
165,95016869L,33
166,87873930S,31
167,87873930M,31
168,87873930L,16
169,87861924S,5
170,87861924M,18
171,87861924L,75
172,87848007S,70
173,87848007M,30
174,87848007L,63
175,94739926S,16
176,94739926M,47
177,94739926L,67
178,95014429S,40
179,95014429M,1
180,95014429L,40
181,119236199S,62
182,119236199M,55
183,119236199L,53
184,119238068S,80
185,119238068M,32
186,119238068L,65
187,119226496S,31
188,119226496M,5
189,119226496L,30
190,119230222S,7
191,119230222M,86
192,119230222L,17
193,119230253S,29
194,119230253M,31
195,119230253L,88
196,119217278S,16
197,119217278M,63
198,119217278L,57
199,119231216S,41
200,119231216M,76
201,119231216L,86
202,117836743S,67
203,117836743M,10
204,117836743L,34
205,117853116S,16
206,117853116M,20
207,117853116L,76
208,117848291S,45
209,117848291M,53
210,117848291L,83
211,117851511S,28
212,117851511M,92
213,117851511L,45
214,117848204S,15
215,117848204M,28
216,117848204L,1
217,117849948S,53
218,117849948M,65
219,117849948L,6
220,117857365S,50
221,117857365M,2
222,117857365L,60
223,117849140S,36
224,117849140M,94
225,117849140L,28
226,117847175S,76
227,117847175M,73
228,117847175L,38
229,117848968S,35
230,117848968M,65
231,117848968L,84
232,117854857S,17
233,117854857M,38
234,117854857L,84
235,117849108S,71
236,117849108M,1
237,117849108L,36
238,118367675S,72
239,118367675M,91
240,118367675L,12
241,117835605S,9
242,117835605M,2
243,117835605L,31
244,117835615S,12
245,117835615M,22
246,117835615L,81
247,117869481S,8
248,117869481M,24
249,117869481L,81
250,117869485S,75
251,117869485M,30
252,117869485L,82
253,117087457S,75
254,117087457M,62
255,117087457L,72
256,116648644S,42
257,116648644M,32
258,116648644L,77
259,116541017S,86
260,116541017M,7
261,116541017L,38
262,119379946S,72
263,119379946M,85
264,119379946L,95
265,119286038S,96
266,119286038M,38
267,119286038L,55
268,118947479S,25
269,118947479M,83
270,118947479L,6
