ID,Nation,City,District
1,Vietnam,Hà Nội,Ba Đình
2,Vietnam,Hà Nội,Hoàn Kiếm
3,Vietnam,Hà Nội,Tây Hồ
4,Vietnam,Hà Nội,Long Biên
5,Vietnam,Hà Nội,Cầu Giấy
6,Vietnam,Hà Nội,Đống Đa
7,Vietnam,Hà Nội,Hai Bà Trưng
8,Vietnam,Hà Nội,Hoàng Mai
9,Vietnam,Hà Nội,Thanh Xuân
10,Vietnam,Hà Nội,Sóc Sơn
11,Vietnam,Hà Nội,Đông Anh
12,Vietnam,Hà Nội,Gia Lâm
13,Vietnam,Hà Nội,Nam Từ Liêm
14,Vietnam,Hà Nội,Thanh Trì
15,Vietnam,Hà Nội,Bắc Từ Liêm
16,Vietnam,Hà Nội,Mê Linh
17,Vietnam,Hà Nội,Hà Đông
18,Vietnam,Hà Nội,Sơn Tây
19,Vietnam,Hà Nội,Ba Vì
20,Vietnam,Hà Nội,Phúc Thọ
21,Vietnam,Hà Nội,Đan Phượng
22,Vietnam,Hà Nội,Hoài Đức
23,Vietnam,Hà Nội,Quốc Oai
24,Vietnam,Hà Nội,Thạch Thất
25,Vietnam,Hà Nội,Chương Mỹ
26,Vietnam,Hà Nội,Thanh Oai
27,Vietnam,Hà Nội,Thường Tín
28,Vietnam,Hà Nội,Phú Xuyên
29,Vietnam,Hà Nội,Ứng Hòa
30,Vietnam,Hà Nội,Mỹ Đức
31,Vietnam,Hồ Chí Minh,5
32,Vietnam,Hồ Chí Minh,1
33,Vietnam,Hồ Chí Minh,12
34,Vietnam,Hồ Chí Minh,Gò Vấp
35,Vietnam,Hồ Chí Minh,Bình Thạnh
36,Vietnam,Hồ Chí Minh,Tân Bình
37,Vietnam,Hồ Chí Minh,Tân Phú
38,Vietnam,Hồ Chí Minh,Phú Nhuận
39,Vietnam,Hồ Chí Minh,Thủ Đức
40,Vietnam,Hồ Chí Minh,3
41,Vietnam,Hồ Chí Minh,10
42,Vietnam,Hồ Chí Minh,11
43,Vietnam,Hồ Chí Minh,4
44,Vietnam,Hồ Chí Minh,6
45,Vietnam,Hồ Chí Minh,8
46,Vietnam,Hồ Chí Minh,Bình Tân
47,Vietnam,Hồ Chí Minh,7
48,Vietnam,Hồ Chí Minh,Củ Chi
49,Vietnam,Hồ Chí Minh,Hóc Môn
50,Vietnam,Hồ Chí Minh,Bình Chánh
51,Vietnam,Hồ Chí Minh,Nhà Bè
52,Vietnam,Hồ Chí Minh,Cần Giờ
