Order_ID,Product_ID,Quantity
DH039,119231216S,5
DH100,118367675S,1
DH012,117773994M,2
DH059,117849140L,2
DH089,95123172M,2
DH082,117773319M,2
DH041,117849858L,3
DH060,117853116S,4
DH084,115265614L,2
DH073,95016869S,1
DH069,117841762S,2
DH048,117847270S,2
DH063,117848204S,3
DH009,117835605S,3
DH096,117847270M,4
DH095,115265614M,4
DH016,117847175M,3
DH087,119226496L,2
DH033,117849140M,4
DH037,117803093M,1
DH006,114149822L,1
DH029,119236199M,3
DH073,119272915M,4
DH084,119230253M,1
DH045,117849108L,2
DH003,117281015L,5
DH093,116581516S,2
DH008,95016869L,1
DH094,114086406S,4
DH042,115997956M,1
DH084,117849140L,4
DH040,114230081L,3
DH044,117869483L,2
DH088,114149822M,4
DH009,117869485S,4
DH046,117088445M,4
DH014,117847270M,3
DH008,115265614L,1
DH097,117848204M,4
DH001,117644485S,5
DH053,119217278L,3
DH051,114230081S,3
DH086,115998371L,1
DH021,115265605S,4
DH100,119230253M,1
DH028,119272629S,5
DH058,117087457M,3
DH049,87848007M,3
DH035,115265605S,5
DH081,115998371L,3
DH049,119230253S,1
DH079,114159201M,3
DH005,117869483S,3
DH059,118367675M,2
DH081,114086296S,2
DH020,117773872S,2
DH032,117857365M,1
DH022,114081563L,2
DH040,117843902L,4
DH008,115997961M,1
DH019,117088445M,1
DH014,117857365L,4
DH038,117836743L,5
DH098,119286038S,4
DH043,119236199L,5
DH011,87861924L,4
DH034,115265605L,3
DH056,119238068S,5
DH024,117847175S,4
DH068,115265465L,1
DH065,117869481S,3
DH071,117869485L,5
DH091,119272629S,1
DH050,114149840L,5
DH012,117849108M,3
DH040,117854857S,2
DH014,119418239M,1
DH038,117773345S,3
DH076,114083211M,2
DH039,117761715S,5
DH081,95123172M,4
DH055,117743840M,2
DH010,117847175L,3
DH027,117849108S,3
DH047,95016880S,4
DH029,114093966M,1
DH003,119217278S,5
DH064,117841762M,1
DH032,117087457M,3
DH075,116541017L,4
DH051,119217278S,3
DH020,119272629L,1
DH005,119217278S,2
DH062,117869481M,4
DH003,117851511M,3
DH029,95014429S,1
DH063,117849108S,4
DH009,116515329S,5
DH100,114159237S,1
DH092,119230222M,5
DH006,117869483S,3
DH089,117869485M,3
DH047,95016869L,1
DH091,116581516S,2
DH025,95014429L,3
DH058,95016880M,2
DH040,114035255S,5
DH100,119226496L,5
DH096,117773994M,4
DH036,117849858S,1
DH081,116648644M,1
DH077,115998371M,5
DH026,117773345M,4
DH037,117849108S,3
DH055,115265614S,2
DH006,117848204L,2
DH061,117761715S,2
DH051,117281015S,1
DH076,117841762M,2
DH045,114081563L,2
DH098,117743840S,4
DH040,117773891M,1
DH013,117644485M,4
DH040,117773872M,1
DH084,117087457L,1
DH062,117743840L,2
DH030,116648644L,5
DH057,114081608S,4
DH050,117773891M,2
DH057,95016869M,5
DH044,115265465L,4
DH026,114149822M,1
DH098,95016869L,1
DH089,115265437S,4
DH019,114093966L,2
DH018,116541017M,4
DH090,117087457S,1
DH029,117773319M,4
DH080,114086296S,3
DH082,117853116M,3
DH082,119379946M,3
DH059,114035255L,4
DH064,117761715S,2
DH072,117835605L,4
DH070,119286038L,3
DH022,117281015M,5
DH062,95016869L,2
DH053,95014429L,4
DH084,117869481S,3
DH079,117843902S,5
DH032,87848007S,5
DH095,117743840S,2
DH037,117281015M,5
DH093,114081608M,1
DH095,116515329M,4
DH047,117843902M,2
DH050,116515329L,4
DH038,117847175L,3
DH070,114081563S,4
DH020,117839035S,3
DH043,117743840S,5
DH067,117839035S,1
DH010,114048352M,4
DH018,95016869M,5
DH050,119286038M,1
DH075,117761715S,1
DH003,114159642M,4
DH022,119418239L,4
DH008,115997956L,5
DH087,117761715M,4
DH009,117848204S,3
DH016,119273491L,2
DH042,114159237S,2
DH041,115998371S,5
DH037,116581516L,3
DH055,87848007L,1
DH061,114048352S,3
DH005,117088445L,3
DH096,87873930L,2
DH004,117847175S,4
DH090,118019290M,3
DH043,95016880S,5
DH023,119418239S,4
DH021,119273491L,1
DH090,117869481L,2
DH018,114113499S,1
DH004,116541017L,2
DH006,119273491S,4
DH068,117743840S,2
DH012,119418239S,3
DH016,119238068M,5
DH016,115997956M,1
DH078,117088445L,5
DH057,118437949L,2
DH016,119379946M,3
DH100,119272915S,1
DH010,119273491S,1
DH028,87873930S,4
DH026,119231216L,4
DH071,115998371L,1
