ProductID,Name,Category,Description,Brand,Price,Size
101044184G39,"tất len bốt cho bé gái, tất len cao cổ phong cách hàn quốc cho bé gái",GT01,"       Shopmevabe1688 xin giới thiệu: Tất Len Bốt Cho Bé Gái, Tất Len Cao Cổ Phong Cách Hàn Quốc Cho Bé Gái   Mẫu vớ mới dài qua gối cho con dự sẽ hot nhất mùa lạnh năm nay cho bé gái từ 5-10 tuổ...",OEM,69000.00,39
101948418G40,"giày cầu lông, giày thể thao chạy bộ cao cấp",GTT01,Giầy Cp085đế cao su thiên nhiên cao cấpMay đế toàn bộ giúp tăng độ bềnÁo giầy là vải lưới kết hợp da PU cao cấpLót giầy ôm chọn gang bàn chânMàu: Trắg XanhSize : 36 đến 43...,Chí Phèo,220000.00,40
112826952G39,giầy sandal nữ phong cách thời thượng siêu hot 21802,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,159600.00,39
112827241G41,giày sandal nữ phong cách thời thượng 21823,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,170500.00,41
112957227G40,giày boot nữ cổ lửng da lộn sành điệu dành cho chị em 20457,GT02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Bốt nữ cao cổ dáng cực ôm chân hàng đẹp   • ✧ Màu đen như hình   • ✧ Chức năng: giảm sốc, thoáng khí êm chân.   • ★ Style: Hàn Quốc   • ✧ Thời trang:giày Đi...",ĐỒ DA THÀNH LONG TLG,292200.00,40
112958887G41,giầy sandal nữ thời trang sành điệu 21828,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,150000.00,41
112960663G41,giầy sandal nữ phong cách hàn quốc siêu thời trang 21827,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,100000.00,41
112961804G39,giày sandal nữ 1 phân thời trang cực trend 20799,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Sandal nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân....",ĐỒ DA THÀNH LONG TLG,150000.00,39
114035255L,Set Đồ Nữ Áo Thun OFFER Phối Chân Váy Xanh Giả Quần Siêu Xinh Dạo Phố BY7100,AT02,"Set Đồ Nữ Áo Thun OFFER Phối Chân Váy Xanh Giả Quần Siêu Xinh Dạo Phố BY7100 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: Chất áo cotton váy tuyết mưa-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dư",OEM,199000.00,L
114035255M,Set Đồ Nữ Áo Thun OFFER Phối Chân Váy Xanh Giả Quần Siêu Xinh Dạo Phố BY7100,AT02,"Set Đồ Nữ Áo Thun OFFER Phối Chân Váy Xanh Giả Quần Siêu Xinh Dạo Phố BY7100 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: Chất áo cotton váy tuyết mưa-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dư",OEM,199000.00,M
114035255S,Set Đồ Nữ Áo Thun OFFER Phối Chân Váy Xanh Giả Quần Siêu Xinh Dạo Phố BY7100,AT02,"Set Đồ Nữ Áo Thun OFFER Phối Chân Váy Xanh Giả Quần Siêu Xinh Dạo Phố BY7100 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: Chất áo cotton váy tuyết mưa-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dư",OEM,199000.00,S
114048352L,Set Bộ Váy Yếm Jean Dài Phối Áo Thun Borip Đáng Yêu Dạo Phố BY7110,AT03,"Set Bộ Váy Yếm Jean Dài Phối Áo Thun Borip Đáng Yêu Dạo Phố BY7110 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: yếm jean áo borip-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 48kg, 3 vòng &lt; ",OEM,235000.00,L
114048352M,Set Bộ Váy Yếm Jean Dài Phối Áo Thun Borip Đáng Yêu Dạo Phố BY7110,AT03,"Set Bộ Váy Yếm Jean Dài Phối Áo Thun Borip Đáng Yêu Dạo Phố BY7110 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: yếm jean áo borip-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 48kg, 3 vòng &lt; ",OEM,235000.00,M
114048352S,Set Bộ Váy Yếm Jean Dài Phối Áo Thun Borip Đáng Yêu Dạo Phố BY7110,AT03,"Set Bộ Váy Yếm Jean Dài Phối Áo Thun Borip Đáng Yêu Dạo Phố BY7110 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: yếm jean áo borip-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 48kg, 3 vòng &lt; ",OEM,235000.00,S
114081563L,Set Bộ Đồ Vest Nữ  Áo Thun & Áo Khoác Ngoài Phối Quần Short Nâu & Xanh Thanh Lịch Sang Trọng BY7121,AT02,"Set Bộ Đồ Vest Nữ | Áo Thun &amp; Áo Khoác Ngoài Phối Quần Short | Nâu &amp; Xanh Thanh Lịch Sang Trọng BY7121 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: -️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Siz",OEM,228000.00,L
114081563M,Set Bộ Đồ Vest Nữ  Áo Thun & Áo Khoác Ngoài Phối Quần Short Nâu & Xanh Thanh Lịch Sang Trọng BY7121,AT02,"Set Bộ Đồ Vest Nữ | Áo Thun &amp; Áo Khoác Ngoài Phối Quần Short | Nâu &amp; Xanh Thanh Lịch Sang Trọng BY7121 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: -️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Siz",OEM,228000.00,M
114081563S,Set Bộ Đồ Vest Nữ  Áo Thun & Áo Khoác Ngoài Phối Quần Short Nâu & Xanh Thanh Lịch Sang Trọng BY7121,AT02,"Set Bộ Đồ Vest Nữ | Áo Thun &amp; Áo Khoác Ngoài Phối Quần Short | Nâu &amp; Xanh Thanh Lịch Sang Trọng BY7121 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: -️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Siz",OEM,228000.00,S
114081608L,Set Bộ Nữ Áo Thun Croptop & Áo Khoác Phối Quần Short Hồng Pastel Ngọt Ngào Dạo Phố Đi Chơi Đi Học BY7123,AT02,"Set Bộ Nữ Áo Thun Croptop &amp; Áo Khoác Phối Quần Short | Hồng Pastel Ngọt Ngào | Dạo Phố Đi Chơi Đi Học BY7123 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: cotton lạnh lót cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3",OEM,225000.00,L
114081608M,Set Bộ Nữ Áo Thun Croptop & Áo Khoác Phối Quần Short Hồng Pastel Ngọt Ngào Dạo Phố Đi Chơi Đi Học BY7123,AT02,"Set Bộ Nữ Áo Thun Croptop &amp; Áo Khoác Phối Quần Short | Hồng Pastel Ngọt Ngào | Dạo Phố Đi Chơi Đi Học BY7123 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: cotton lạnh lót cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3",OEM,225000.00,M
114081608S,Set Bộ Nữ Áo Thun Croptop & Áo Khoác Phối Quần Short Hồng Pastel Ngọt Ngào Dạo Phố Đi Chơi Đi Học BY7123,AT02,"Set Bộ Nữ Áo Thun Croptop &amp; Áo Khoác Phối Quần Short | Hồng Pastel Ngọt Ngào | Dạo Phố Đi Chơi Đi Học BY7123 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: cotton lạnh lót cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3",OEM,225000.00,S
114083211L,Set Bộ Áo Thun B Phối Quần Short Tone Nâu CaCao Năng Động Cá Tính Đi Học Dạo Phố BY7126,AT03,"Set Bộ Áo Thun B Phối Quần Short Tone Nâu CaCao Năng Động Cá Tính Đi Học Dạo Phố BY7126 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: Cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 48kg, 3 ",OEM,205000.00,L
114083211M,Set Bộ Áo Thun B Phối Quần Short Tone Nâu CaCao Năng Động Cá Tính Đi Học Dạo Phố BY7126,AT03,"Set Bộ Áo Thun B Phối Quần Short Tone Nâu CaCao Năng Động Cá Tính Đi Học Dạo Phố BY7126 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: Cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 48kg, 3 ",OEM,205000.00,M
114083211S,Set Bộ Áo Thun B Phối Quần Short Tone Nâu CaCao Năng Động Cá Tính Đi Học Dạo Phố BY7126,AT03,"Set Bộ Áo Thun B Phối Quần Short Tone Nâu CaCao Năng Động Cá Tính Đi Học Dạo Phố BY7126 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: Cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 48kg, 3 ",OEM,205000.00,S
114086296L,Set Bộ Áo Thun Đen Phối Chân Váy Chữ A Đơn Giản Dạo Phố Đi Chơi BY7132,AT03,"Set Bộ Áo Thun Đen Phối Chân Váy Chữ A Đơn Giản Dạo Phố Đi Chơi BY7132 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: áo cotton chân váy cotton lạnh-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 4",OEM,205000.00,L
114086296M,Set Bộ Áo Thun Đen Phối Chân Váy Chữ A Đơn Giản Dạo Phố Đi Chơi BY7132,AT03,"Set Bộ Áo Thun Đen Phối Chân Váy Chữ A Đơn Giản Dạo Phố Đi Chơi BY7132 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: áo cotton chân váy cotton lạnh-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 4",OEM,205000.00,M
114086296S,Set Bộ Áo Thun Đen Phối Chân Váy Chữ A Đơn Giản Dạo Phố Đi Chơi BY7132,AT03,"Set Bộ Áo Thun Đen Phối Chân Váy Chữ A Đơn Giản Dạo Phố Đi Chơi BY7132 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: áo cotton chân váy cotton lạnh-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 4",OEM,205000.00,S
114086406L,Set Bộ Áo Thun Croptop Phối Quần Dài Suôn Ống Rộng Màu Đen Nâu Cam Xanh Lá Năng Động Dạo Phố Đi Chơi BY7133,AT03,"Set Bộ Áo Thun Croptop Phối Quần Dài Suôn Ống Rộng | Đen Nâu Cam Xanh Lá | Dạo Phố Đi Chơi BY7133 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: thun gân-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S d",OEM,215000.00,L
114086406M,Set Bộ Áo Thun Croptop Phối Quần Dài Suôn Ống Rộng Màu Đen Nâu Cam Xanh Lá Năng Động Dạo Phố Đi Chơi BY7133,AT03,"Set Bộ Áo Thun Croptop Phối Quần Dài Suôn Ống Rộng | Đen Nâu Cam Xanh Lá | Dạo Phố Đi Chơi BY7133 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: thun gân-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S d",OEM,215000.00,M
114086406S,Set Bộ Áo Thun Croptop Phối Quần Dài Suôn Ống Rộng Màu Đen Nâu Cam Xanh Lá Năng Động Dạo Phố Đi Chơi BY7133,AT03,"Set Bộ Áo Thun Croptop Phối Quần Dài Suôn Ống Rộng | Đen Nâu Cam Xanh Lá | Dạo Phố Đi Chơi BY7133 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: thun gân-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S d",OEM,215000.00,S
114093966L,Set Váy Yếm Jean Kèm Áo Thun Trắng Đáng Yêu Dạo Phố BY7129,AT03,nan,OEM,235000.00,L
114093966M,Set Váy Yếm Jean Kèm Áo Thun Trắng Đáng Yêu Dạo Phố BY7129,AT03,nan,OEM,235000.00,M
114093966S,Set Váy Yếm Jean Kèm Áo Thun Trắng Đáng Yêu Dạo Phố BY7129,AT03,nan,OEM,235000.00,S
114113499L,Set Bộ Áo Thun Xanh Rêu Phối Chân Váy Chữ A Siêu Hot Năng Động Cá Tính Dạo Phố Đi Chơi BY7148,AT03,"Set Bộ Áo Thun Xanh Rêu Phối Chân Váy Chữ A Siêu Hot Năng Động Cá Tính Dạo Phố Đi Chơi BY7148 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: váy tuyết mưa có lót áo cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; ",OEM,215000.00,L
114113499M,Set Bộ Áo Thun Xanh Rêu Phối Chân Váy Chữ A Siêu Hot Năng Động Cá Tính Dạo Phố Đi Chơi BY7148,AT03,"Set Bộ Áo Thun Xanh Rêu Phối Chân Váy Chữ A Siêu Hot Năng Động Cá Tính Dạo Phố Đi Chơi BY7148 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: váy tuyết mưa có lót áo cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; ",OEM,215000.00,M
114113499S,Set Bộ Áo Thun Xanh Rêu Phối Chân Váy Chữ A Siêu Hot Năng Động Cá Tính Dạo Phố Đi Chơi BY7148,AT03,"Set Bộ Áo Thun Xanh Rêu Phối Chân Váy Chữ A Siêu Hot Năng Động Cá Tính Dạo Phố Đi Chơi BY7148 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: váy tuyết mưa có lót áo cotton-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; ",OEM,215000.00,S
114149822L,Set Bộ Áo Thun Phối Phom Váy Dài Xẻ Tà Xanh Mint Dạo Phố BY7165,AT03,"Set Bộ Áo Thun Phối Phom Váy Dài Xẻ Tà Xanh Mint Dạo Phố BY7165 - Đơn giản mà vẫn đủ thu hút!- Chất liệu vải: áo cotton váy cotton lạnh-️ 3 size S M L Áp dụng chiều cao trung bình 1m60Size XS dưới 42kg, 3 vòng &lt; 80 60 85  Size S dưới 48kg, 3 vòng ",OEM,210000.00,L
