Carrier,OrderID,Status
VNPost,DH045,Cancelled
Shopee Express,DH069,Shipped
Shopee Express,DH024,Pending
Ninja Van,DH068,Delivered
Shopee Express,DH047,Cancelled
Viettel Post,DH048,Delivered
VNPost,DH005,Shipped
Ninja Van,DH012,Shipped
Shopee Express,DH072,Pending
Shopee Express,DH010,Cancelled
VNPost,DH053,Cancelled
Shopee Express,DH089,Shipped
Ninja Van,DH014,Pending
Ninja Van,DH064,Shipped
VNPost,DH044,Shipped
Shopee Express,DH079,Delivered
Ninja Van,DH052,Cancelled
Viettel Post,DH004,Pending
Viettel Post,DH088,Delivered
Shopee Express,DH006,Pending
Shopee Express,DH066,Cancelled
Viettel Post,DH080,Delivered
Shopee Express,DH059,Cancelled
VNPost,DH037,Delivered
Ninja Van,DH002,Shipped
Shopee Express,DH013,Cancelled
Ninja Van,DH036,Pending
Ninja Van,DH029,Cancelled
Ninja Van,DH098,Cancelled
Viettel Post,DH016,Cancelled
Ninja Van,DH085,Delivered
Shopee Express,DH003,Shipped
Shopee Express,DH074,Delivered
Ninja Van,DH081,Pending
Shopee Express,DH065,Delivered
Ninja Van,DH023,Shipped
Ninja Van,DH030,Shipped
Shopee Express,DH018,Cancelled
VNPost,DH062,Delivered
Ninja Van,DH009,Delivered
Shopee Express,DH071,Pending
Shopee Express,DH086,Delivered
Viettel Post,DH058,Delivered
Ninja Van,DH083,Shipped
VNPost,DH034,Cancelled
VNPost,DH028,Delivered
Viettel Post,DH091,Shipped
Ninja Van,DH041,Cancelled
Viettel Post,DH021,Pending
Ninja Van,DH050,Cancelled
VNPost,DH087,Delivered
Viettel Post,DH042,Cancelled
Ninja Van,DH063,Cancelled
Ninja Van,DH007,Shipped
Shopee Express,DH035,Delivered
Viettel Post,DH093,Cancelled
VNPost,DH067,Pending
Shopee Express,DH060,Delivered
VNPost,DH051,Pending
Viettel Post,DH077,Shipped
VNPost,DH054,Pending
Ninja Van,DH100,Cancelled
Viettel Post,DH084,Delivered
Viettel Post,DH001,Delivered
Shopee Express,DH020,Shipped
Shopee Express,DH057,Pending
Viettel Post,DH076,Delivered
Ninja Van,DH039,Cancelled
VNPost,DH056,Shipped
Ninja Van,DH015,Delivered
VNPost,DH097,Delivered
Ninja Van,DH090,Delivered
Ninja Van,DH027,Delivered
VNPost,DH096,Pending
Viettel Post,DH011,Shipped
Shopee Express,DH022,Cancelled
Viettel Post,DH099,Delivered
VNPost,DH061,Delivered
VNPost,DH095,Cancelled
Shopee Express,DH031,Delivered
VNPost,DH026,Pending
Shopee Express,DH040,Pending
VNPost,DH008,Delivered
Ninja Van,DH043,Cancelled
Ninja Van,DH094,Delivered
VNPost,DH078,Shipped
Viettel Post,DH033,Delivered
VNPost,DH017,Cancelled
Ninja Van,DH025,Pending
Viettel Post,DH092,Cancelled
VNPost,DH046,Pending
Ninja Van,DH049,Pending
Ninja Van,DH055,Shipped
Viettel Post,DH070,Shipped
Shopee Express,DH038,Cancelled
VNPost,DH032,Shipped
Ninja Van,DH073,Shipped
Viettel Post,DH019,Pending
Ninja Van,DH075,Pending
VNPost,DH082,Pending
