title,price,discount_percent,sold,brand,link
"Điện thoại Samsung Galaxy S25, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon - Hàng Chính Hãng",18.990.000₫,-17%,2,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=TeECP396jmqVE-z2nphowdacbTBJOJy7QaPKbjz_sIus3S4D9ONRCGKQilwYdv0mDbV0RQ0mEBifYHRKrOllevPu8iXTERMDYjZfwAcgOzZ1NFlUpA2ddYERkDPCtY36pFvW-7bWi9dx8cyTHXPRw9KRRYqjpqMV3Fc-SDGTLEugu9-Z3s2_3eHAOLEUnaAgQRUcwgaIqBaC3NNitv052fMyTdFLXhP1D_gOPFK8qKeftSCZeKe42ffA-VJrG8k32Cg8GnoOlll_qN_KfFJW0GlhZSolCV8u1yzQtr8j8Eu9h84g3qkC9EQ90dlj5Pkvqv-XvtkwjS_6i6Q-J3Y9G1iqbA-nnfYFuHiS2rz2UShIFoMNZZwm-wTdwQ2OInLoUCyAquR4-3YNEr31gRDEgqgf_y2wnNrySMb4FUd1VrIrwqs6WRtCrRvOD_aiBdYHxQ2Fv7sjBJu6BcV4moNOc6gLRUYDuIwTFLUdXA_jkC7E7WqEf0Er3v-SAAWYXGh4KmH0wp5JBMKrmjVO7wi4DXi-cU90Rsg_r08XksIEtROpIVJ1mgiU48AOiw4JR_LLXI4XBfvTb1GOZhLPLPloXpVc31gOMYytBJ6CJfVdm5inMZ3UwgdLD_yZVem_1eq2bUdpbQ6DnHYJYxz6ldxTvRR--1KawpTN9LxcepoldomoOQgClafRSKg5Kt55znyjF_5kLMV725ys_31dFlMNpbZJi7P6EISp6Jj67RtxSckFg7bTGWCPN2E60TMSpaGg7RSHbKGXiMpXbCL0kn2FsiroQ-7H5ICeLT8waqQfsYbP__bFsbAnhb651m-aiujH2X8azRbNXxSN8mTSS1J4WkkfP7HsebQ0dtT6yq9nvTnS2dhJIlKOnkpOoX3wGwE9tRfE6jYwKUfzogqdZpaDkIM91_l9F4tDXHCI9GzMNW5txeI1FLYeNfquSMvRCx-L--JIQJtUuxUWuZsPYpoFRpRqO93x1ZUJlhLawSUTyr8r4Kln47VLrResYxpOD5TzlaMdevB2a_KOhHOlY8L-IFtm4I65CmBleTULCHzgvlKqEnicGCpmdueGBqC-pRFOYzH5vxyzPq_gbkXXHN2SS1x8WIW7R-tHUx-iJZ1d2yJga0yZALTzlXKaJd4Yca3der1AeQeX7Pi4_tF_eQuPKH7onZ6dLTuuDx0&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=1
Điện Thoại Samsung Galaxy A06 (4GB/128GB) -  Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,2.450.000₫,-30%,61,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=tuehxMpplbhhmXMt-ERxO1ACHkso-KD-gtDjBqEOXdES6mfHWPVN4oktpbGbVMBYgadGFT12xzXX2m90IHzsUpeUqGQmMy8fFZ6XGEILyqrxY9akHvJTngDmeJIMfBO6xmLnG645G7B0ymQdiuHO_GzwMeh5eL_pWqX0tDIf5aM3qbiMnBntUMQGxKqtXpwHOQR0nLVaaAfbEEKmRRYTjsVtuGNpsd9M-Z8lbGH3i7VJAci8GyCiqMOtxFh_qcl49UygJ7NzXmXO1K-lzdOn8awn8yu9E1Kwrq8lsgNmNu1siMNyob5O1RAWVPc9BM9E7H2JM7XLHVC7Ef4rcWWnpRgSN2u4PiBfBCQdw0CYoccsPZbOCkDfXaSz6PY0brcaKmHWs8vkF8D3qtuXVTTmKYkzp076K7u-QHLPQZ5NTNXwGmpknaVXTtL9TBTdtqEI0FfGntwmXboRVYC2QpetjKXc1GUk-Zgd2AIF7l-fFpCY9DSyvxBRK5QTZrQnwNu01Z8w1aFpX9Xs1CObdwf4QWQM_vbFNcAFaFXEnelCkuWd--bI486v1JDxCi7H8K2l7A6Sv7vmqW8TcoEAwdHe9R6oM36K3w9CwP1i0li4IBDS-TKpLsseBw-0bNThqgCbGAJ5rQLqI9A-rVsPoNEdozk8JvDA5JZgDV3rCnt-np6AZJ7Q-xBy0lGM3TQDN7dfW_t3VFidBWEeuAtml_DADgoqJSkDOaxjrbdDdaEm2qaAnAnyVeiMEwy8uTAY9am24xu3Lzy8IrWmmY70JyOHIRbIeuU1hgUojS-EJmf-WlBaA0MbG3e1btVz6LATb8q92opuQegFfvkr6vy2vA4cMXh7KZ08OXGU5WjqDzIIGElIipAVZCF8oqLtZgihtyEr5uITsW1kJ3Fc8ZXkf7Hoq9eU1Owjs57VfUF0mbFO3JglDEtzbt4JIp4knl0Y-EVXaieAoTJD9jJGAqbiQMGTQ1tdwLxnHinzVXMgTRdH6KQccX6D_VfWYwIuxpMQH-nQlldeYgYmt2ygI8PRRbFWmrRJkjA1Jr_y2jOU_FIvgPonj8cXM3Yih1oiM1wC9_QNQkD0iH_mVccUPbsQRZv9IfOwZ6BsNW6ZK6ieStK0zHwA54H8&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=2
"Điện thoại Samsung Galaxy S25+, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon - Hàng Chính Hãng",26.290.000₫,-3%,Không có thông tin bán,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=rFaNuywKSiFVr0EVZmsUrkxF8zO46MMhHpNzUpqQW1rJz7tjytafTWiqBiRnvydPlIoixZsf9Cx9RGfYw-WwKok0W2hgbrswXhiVB2TDWFBU_j6wxVelSDb2VyMivZse9BwUTPiBGzqJyrS4RuIPCQtv8fWNEVITMh9dGZrkrY5QfCnbREmhrZhmfcSWNgysAkTvGG7MDfeOYMhC_4E7tR9dSjxlzffKW-tweBxHRFGgumhY-3hul3olgNiLIxFTtf-9cm7Jr_JrjQmJkEp-hEVqvwC32ew2WWY2pwUVH-66NojuSJ0BqjHgkbYU45zs4BU2zoYxwuj1jGoAFRCuWOwJL_e66kkNZb2TdCfPWj9HkLu9OAkAD-ZRSnki7BB6aM3Eu0Zo3b_iqWDzoZ2lyIvuHzt0a0x1a3aMlwna9HyDl78DV9MzzHJQ29Ox8UkBw15Yr-k1-oTTIQy79zTkuPBGQjYl1qyLVQM8K201RY1lzbSqbHNWHkbY2NiQqh0TY30oVfyHIoNydKXN7nGWmKWrzpJLVt-e6NAhBHstMPui9jDgXpm68V_630zAx_cEUbzXjhBjiMER6pLiNFewUQnXYebz8XYvZoXnUlgqgMfK8PQM72NYuBWFB0fjgmXFofmrPE9Z27FBfAq04AgLfuISCAoFUfHwjeoFb5vsB4Mq0m5ytwI6qVNnkpsSaMrUc3RQu4sbVbn6CDHopw65kuhtcsYsI7EVSqmdEC2U4AHsNyw4FxzHlrNMjxJFfExP5gl6l5U9Ucwt8OqPDD9_WyckDYSrjbIMKNWSwV21DJADUuOBVXAkSEXitamf2hpT471VnymAbXO8rgwscu7l908co4oe9H_18_UYDwOgLH_mFtjjzg71qLZmIua5nSdQtlMn9kYtOjq9aGDLvfZv53807Xsoys9heZi57jmyc9QOuBvmhuvxR8LXlarbt7occFwjm0Au5C3t1xfY5LT8dVU6QEM12c9jpqaiHRDcZTDiYNhS60TDnua9wliZD3tnbfEQ7POxBjcXMoHTx1lK00DL4xSu7uS5QFVLZvOzgbzMvaODS14ooNOGPetdUI770tA5KiBQiqXQ2kODXSLyd7hcPta1nHd2XGT1U-IZ6CL3-d4N-Bk7v-P62anT4P7GNDLhE60_RXdTJSp30JTAAtjzTbY0Oe5WbfjkSUuNlgmj&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=3
Điện thoại Samsung Galaxy A34 5G (8GB/256GB) - Đã kích hoạt bảo hành điện tử  Hàng chính hãng,5.990.000₫,-5%,2532,SAMSUNG,https://tiki.vn//tka.tiki.vn/pixel/pixel?data=Ht2njOkQxdFWoLoEbYrV_p__09D6wscCrmlZLfiIK36F0HJc6Xcmewl4T6qzXwNyQM2fudeZIrxGG07PxM-PCJWRWFnRnI-O5JNeICf4-d1nNAHddT-faeaG5v7GwmRTWp-jerKraGQbuY_1JySQB6CW3e5GvMX7ZwKM1Emhidu_KeSN4ON0XLq03O4v_DxY_hgpRNpw0iqYAR2hGD2he4DDOLRtQVZvFj-BeZAwZ__2EWAhH2y_z3oHxaJeqf41hRuNAXEKArD0c9cd5PCOgD55q8WqBccEb4WQinnpDHoot4-hh38eJe7V2ArQp33-bxbNh753e_o1iSnh7zDL0Amocj0agiuRVrMK12XPYnLOF-v47yHjCEnheVojy0kA4cs_CkJOPtpauzZZaNfHZRVl-uCKKglkp9u3cLdhEQh3E23YiJ8oq6u3FghBzLmBjbriMk9w916ryn4A_C1LbmvCBRDfmzTPjnSwx0xPANEQQTVmeVGTcr7uzCwNxe73Rw0aocqgeu2DIr3d-CHD2c8ihMbT3aWhcnoy8qNohodAI42OlX6obTpptTt1AZwh8fILkOCN5rAjfHf8fH8-jc9XNcepuhueoQWJXXwDl6LJ-F5cNA2wC2gfbAtSSnNb66vdylube6pd4STV-uozTaaEdM8M_SzAh4BLcG5NcgEP0vR0dtyqQkhgiXePp7Zvq3vJwJjo38UiCG1pN4N8d0eaXENJ6VRsKyUQuH2xrnhJPk05yfXqjIa5VmNitpPItUeuSQObkfssmHpcCPEIReNDytk23FyjpjNzs70-Tec9gS5Qn8iTy7G84uvNkSNkUnRQEtUZR3hma4ykXTU7iaKtTGmpxeRTmSrTB0mv1AP12ANrkIn6Fnj3Ckfn-li_CbHcYfbjHb4MIjBbHpiph-XIlRBj_tRzRfwGTcWb49Sc6OI16UCBK9kWeB8QAKWiFsLckNm3AgpSbuHcp0BdkRJYYZhvGZ3AUib2TceD5A4CryBmoU-1X9Jt5SJMOKnnnDT8MYjm6ufosocte8SjH1lvRGU9BPHclNM5DlApI6awd3xO56l7AGXz0WmEmr1dOEOHntWl6cyBvGhVZg8eRILhVDAvS1ju9xmdqSylQvq-WQ&reqid=kmfKpF4WTh8CiwCu&type=CLICK&pos=4
Điện Thoại Samsung Galaxy A06 (4GB/128GB) -  Đã kích hoạt bảo hành điện tử - Hàng Chính Hãng,2.450.000₫,-30%,61,SAMSUNG,https://tiki.vn/dien-thoai-samsung-galaxy-a06-4gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p276250878.html?spid=276251220
Điện thoại Nokia 3210 - Hàng Chính Hãng,1.390.000₫,-13%,326,NOKIA,https://tiki.vn/dien-thoai-nokia-3210-hang-chinh-hang-p275237083.html?spid=275239475
Điện Thoại Samsung A06 4GB/64GB - Hàng Chính Hãng,3.170.000₫,-1%,1,SAMSUNG,https://tiki.vn/dien-thoai-samsung-a06-4gb-64gb-hang-chinh-hang-p276944892.html?spid=276944898
Điện thoại Xiaomi Redmi 13 - Hàng chính hãng,3.539.000₫,-18%,1,XIAOMI,https://tiki.vn/dien-thoai-xiaomi-redmi-13-6gb-128gb-hang-chinh-hang-p276074109.html?spid=276074088
Điện Thoại Samsung A06 4GB/128GB - Hàng Chính Hãng,2.625.000₫,-25%,3,SAMSUNG,https://tiki.vn/dien-thoai-samsung-a06-4gb-128gb-hang-chinh-hang-p276274790.html?spid=276274792
Điện thoại Samsung Galaxy A06 - Hàng chính hãng,2.689.000₫,-16%,2,SAMSUNG,https://tiki.vn/dien-thoai-samsung-galaxy-a06-hang-chinh-hang-p276281988.html?spid=276281994
