order_id,customer_id,total_price,date,payment_method,platform_id
DH001,KH014,774452,2023-10-12,cash,SENDO
DH002,KH014,809908,2023-05-13,credit_card,SENDO
DH003,KH019,850582,2023-08-25,credit_card,SENDO
DH004,KH026,167139,2023-04-20,cash,LAZADA
DH005,KH021,743320,2023-06-12,momo,SENDO
DH006,KH007,529496,2024-06-18,credit_card,LAZADA
DH007,KH044,260113,2023-11-01,cash,SENDO
DH008,KH014,419633,2023-08-31,credit_card,SENDO
DH009,KH003,208314,2024-05-28,cash,LAZADA
DH010,KH016,714869,2024-08-16,cash,TIKI
DH011,KH010,911904,2024-05-31,credit_card,SENDO
DH012,KH001,308244,2023-03-26,cash,LAZADA
DH013,KH007,335816,2024-03-22,credit_card,TIKI
DH014,KH014,562070,2023-07-26,momo,SENDO
DH015,KH036,948187,2023-09-05,momo,LAZADA
DH016,KH028,303857,2023-08-19,cash,LAZADA
DH017,KH028,516005,2023-11-21,cash,TIKI
DH018,KH004,652048,2025-01-18,momo,LAZADA
DH019,KH032,578727,2023-03-29,cash,LAZADA
DH020,KH030,732566,2023-06-25,credit_card,TIKI
DH021,KH011,290595,2023-10-03,credit_card,LAZADA
DH022,KH050,854477,2023-05-24,cash,SENDO
DH023,KH003,308040,2024-10-30,credit_card,LAZADA
DH024,KH045,843289,2024-05-21,cash,TIKI
DH025,KH003,182528,2023-06-05,cash,LAZADA
DH026,KH012,687779,2024-09-20,cash,TIKI
DH027,KH002,848326,2024-04-13,credit_card,SENDO
DH028,KH028,637030,2023-04-07,credit_card,TIKI
DH029,KH009,386669,2023-07-27,cash,SENDO
DH030,KH006,927495,2024-04-08,credit_card,SENDO
DH031,KH014,142457,2023-09-17,cash,SENDO
DH032,KH036,387144,2024-05-22,credit_card,LAZADA
DH033,KH004,159352,2024-03-01,credit_card,LAZADA
DH034,KH020,802191,2024-04-10,cash,SENDO
DH035,KH041,554993,2024-01-02,momo,TIKI
DH036,KH012,884486,2024-06-24,momo,SENDO
DH037,KH046,627165,2024-05-23,momo,SENDO
DH038,KH033,792014,2023-03-24,momo,LAZADA
DH039,KH048,305102,2024-12-17,momo,TIKI
DH040,KH016,169671,2024-02-01,credit_card,LAZADA
DH041,KH031,701433,2024-10-03,cash,TIKI
DH042,KH046,240250,2023-09-25,credit_card,TIKI
DH043,KH028,289179,2024-11-13,momo,LAZADA
DH044,KH031,888427,2024-11-17,momo,LAZADA
DH045,KH029,656419,2025-01-16,momo,TIKI
DH046,KH038,854013,2023-12-23,credit_card,SENDO
DH047,KH025,160524,2023-10-04,cash,TIKI
DH048,KH046,249277,2024-08-22,credit_card,TIKI
DH049,KH037,692142,2023-09-13,credit_card,LAZADA
DH050,KH029,166981,2023-04-18,cash,LAZADA
DH051,KH024,438172,2024-03-16,cash,SENDO
DH052,KH004,922507,2024-07-14,momo,SENDO
DH053,KH025,410203,2024-03-17,cash,TIKI
DH054,KH011,326263,2023-08-10,credit_card,LAZADA
DH055,KH039,770106,2023-03-03,momo,LAZADA
DH056,KH043,999392,2024-01-31,cash,SENDO
DH057,KH007,471575,2024-12-05,momo,TIKI
DH058,KH001,327767,2023-10-26,momo,SENDO
DH059,KH030,891280,2023-06-04,cash,SENDO
DH060,KH008,550823,2024-12-10,credit_card,LAZADA
DH061,KH007,233654,2023-10-23,credit_card,LAZADA
DH062,KH042,287515,2023-10-20,credit_card,TIKI
DH063,KH007,642826,2023-10-22,cash,SENDO
DH064,KH007,839384,2024-03-07,momo,TIKI
DH065,KH048,776026,2024-11-02,momo,LAZADA
DH066,KH034,982589,2025-01-15,cash,LAZADA
DH067,KH011,157665,2023-02-28,credit_card,LAZADA
DH068,KH021,996740,2023-05-06,momo,TIKI
DH069,KH006,378129,2023-09-06,momo,SENDO
DH070,KH013,500157,2025-02-16,credit_card,TIKI
DH071,KH013,590672,2023-09-20,credit_card,TIKI
DH072,KH037,978218,2024-01-12,credit_card,TIKI
DH073,KH022,115998,2024-09-19,cash,LAZADA
DH074,KH043,454960,2024-01-26,cash,LAZADA
DH075,KH038,463667,2024-02-07,momo,SENDO
DH076,KH043,136321,2023-02-27,credit_card,LAZADA
DH077,KH047,822257,2024-07-03,credit_card,TIKI
DH078,KH044,232780,2024-01-23,momo,TIKI
DH079,KH020,904092,2023-07-02,credit_card,SENDO
DH080,KH025,633872,2024-09-12,cash,SENDO
DH081,KH004,658087,2023-10-17,momo,SENDO
DH082,KH035,191935,2024-02-06,cash,LAZADA
DH083,KH022,241860,2023-12-19,cash,TIKI
DH084,KH005,828848,2024-11-22,cash,TIKI
DH085,KH024,423332,2023-12-11,momo,TIKI
DH086,KH045,282147,2024-08-07,momo,LAZADA
DH087,KH030,955685,2024-02-26,momo,TIKI
DH088,KH011,550685,2025-02-05,credit_card,TIKI
DH089,KH016,328925,2025-01-28,credit_card,SENDO
DH090,KH031,916175,2023-03-10,cash,TIKI
DH091,KH019,591805,2025-01-19,momo,SENDO
DH092,KH013,356150,2023-06-13,credit_card,LAZADA
DH093,KH021,778243,2023-12-26,cash,LAZADA
DH094,KH001,967268,2023-03-17,cash,TIKI
DH095,KH010,450285,2024-12-28,credit_card,SENDO
DH096,KH037,702752,2024-12-08,cash,LAZADA
DH097,KH039,692610,2024-09-09,credit_card,SENDO
DH098,KH015,931991,2025-01-24,credit_card,TIKI
DH099,KH015,543890,2024-08-23,momo,LAZADA
DH100,KH011,709804,2024-02-09,momo,LAZADA
