product_id,rating,review_text,date,customer_id,platform_id
275181298G40,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-08-19,KH028,SENDO
212604731G40,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-05-22,KH048,SENDO
273807111G39,4,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-06-28,KH021,SENDO
115998371S,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-03-10,KH006,TIKI
210138611G39,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-07-30,KH001,TIKI
1375795438M,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2024-01-25,KH017,TIKI
52228079G40,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-06-07,KH003,SENDO
276718075G41,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-07-18,KH027,LAZADA
2336150655M,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-10-08,KH025,TIKI
210138611G39,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-03-03,KH019,SENDO
276023038G41,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2025-01-02,KH038,SENDO
2375819829L,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-10-30,KH007,TIKI
276181232G40,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-08-30,KH001,SENDO
2822725675M,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-08-02,KH037,SENDO
2375819829S,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-12-28,KH026,LAZADA
95016880M,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-02-27,KH043,SENDO
209125573G40,5,Sản phẩm này rất tốt. Tôi khá hài lòng với sản phẩm này,2023-08-09,KH042,LAZADA
276898864G40,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-05-05,KH025,TIKI
119238068S,3,Sản phẩm này cũng tạm. Cần cải thiện hơn,2024-06-22,KH015,SENDO
119226496S,2,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2024-10-28,KH017,SENDO
270813814G39,1,Sản phẩm này không tốt. Tôi không hài lòng với sản phẩm này,2023-10-06,KH049,SENDO
