itemID,name,image,rating_score,review_count,location,seller_name,brand_name,price,original_price,item_sold_count,in_stock,itemURL
2541207036,"Áo ống quây đa năng, chống lộ, không gọng thép, ôm sát, chống trơn trượt, thoải mái, một dây, cúp ngực bé gái",https://vn-live-01.slatic.net/p/d7d69e245f078e5564d87c34c59c4e45.jpg,4.9014423076923075,416,Long An,807Txb21-2.Selection,No Brand,34900,45500,1.2K Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/ao-ong-quay-da-nang-chong-lo-khong-gong-thep-om-sat-chong-tron-truot-thoai-mai-mot-day-cup-nguc-be-gai-i2541207036.html
2538888200,"Áo nịt eo dành cho nữ sau sinh, đai nhựa rỗng thoáng khí, áo định hình ba ngực, đai thể thao",https://vn-live-01.slatic.net/p/bbcb57acda79dc58f215b352c4ae0d0e.jpg,4.875444839857651,1930,Long An,CZXC78.Selection,Lizida,29300,38100,8.7K Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/ao-nit-eo-danh-cho-nu-sau-sinh-dai-nhua-rong-thoang-khi-ao-dinh-hinh-ba-nguc-dai-the-thao-i2538888200.html
2942047513,（Vận chuyển từ Việt Nam）áo thun tay dài áo thun ôm body áo thun trơn Cổ Tròn ren,https://sg-test-11.slatic.net/p/d971bafab74a2065170225000ba13db2.jpg,4.986622073578595,299,South Korea,WA.NG,Orion,70000,113000,1.5K Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/van-chuyen-tu-viet-namao-thun-tay-dai-ao-thun-om-body-ao-thun-tron-co-tron-ren-i2942047513.html
2399300518,"Áo Thun CODE STUDIO Nam Nữ Unisex Áo Phông Form Rộng Tay Lỡ, AT144 trending xu hướng, Men Lì Fashion, Thời Trang, Độc Đẹp Vải Dày Mịn Thoáng Mát, Kiểu Dáng Năng Động Trẻ Trung",https://vn-live-01.slatic.net/p/b8460b92360e0008f8770699a8da8fe0.jpg,4.852542372881356,590,Hồ Chí Minh,Men Lì Fashion,No Brand,32800,60000,1.9K Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/ao-thun-code-studio-nam-nu-unisex-ao-phong-form-rong-tay-lo-at144-trending-xu-huong-men-li-fashion-thoi-trang-doc-dep-vai-day-min-thoang-mat-kieu-dang-nang-dong-tre-trung-i2399300518.html
1878528124,"Áo Thun Hai Dây Nữ CÓ SIZE ĐẠI ,Áo Thun Cotton 2 Dây Nữ BODY, Co Giản, Mềm Mại Thỏa Mái Adam_fashion",https://vn-live-01.slatic.net/p/24f9d3c05ca1f892d22ff1266bcce12e.jpg,4.855540601166442,2228,Hồ Chí Minh,Adam1995,OEM,18526,40000,12.4K Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/ao-thun-hai-day-nu-co-size-dai-ao-thun-cotton-2-day-nu-body-co-gian-mem-mai-thoa-mai-adam_fashion-i1878528124.html
919092037,"Áo thun Hàn Quốc, áo thun lạnh thu đông giữ nhiệt nữ chất đẹp",https://vn-live-01.slatic.net/p/741cba3b87d1fc40a36588ca381fd4ea.jpg,4.779141104294479,489,Hà Nội,moonshop97,No Brand,27000,50000,3.3K Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/ao-thun-han-quoc-ao-thun-lanh-thu-dong-giu-nhiet-nu-chat-dep-i919092037.html
2273681450,Áo thun thể thao nam cổ trụ chất thun lạnh co giãn 4 chiều chính phẩm. Mã [T06] Áo thể thao nam.,https://vn-live-01.slatic.net/p/a8a50af672d54f4501ff255013c2f306.jpg,4.9416058394160585,137,Gia Lai,Shop Thể Thao HMStore,No Brand,73335,149000,427 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/ao-thun-the-thao-nam-co-tru-chat-thun-lanh-co-gian-4-chieu-chinh-pham-ma-t06-ao-the-thao-nam-i2273681450.html
1001850401,[HCM]Áo thể thao nữ tay ngắn chất thun 4 chiều phù hợp tập Gym Yoga,https://vn-live-01.slatic.net/p/2d4eaca14855ba2bb691ad20fff25a19.jpg,4.925756186984418,4364,Hồ Chí Minh,Tài Anh Sport,No Brand,76500,150000,22.6K Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/hcmao-the-thao-nu-tay-ngan-chat-thun-4-chieu-phu-hop-tap-gym-yoga-i1001850401.html
1599664377,"[Big Size 100kg] Áo thun nam tay ngắn Cotton Đốm Lụa ✔️̂̃ ̛́✔️ Giữ nhiệt thể thao nam co giãn, bốn chiều",https://vn-live-01.slatic.net/p/9c40a866c32b55e96496d17f890f3b16.jpg,4.597222222222222,72,Hồ Chí Minh,cherry 01,No Brand,69200,120000,310 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/big-size-100kg-ao-thun-nam-tay-ngan-cotton-dom-lua-giu-nhiet-the-thao-nam-co-gian-bon-chieu-i1599664377.html
1896066767,"Áo thun in hình theo yêu cầu, đồng phục nhóm, tập thể lớp, bộ đồ dã ngoại, đồ đi biển, teambuiding",https://sg-live-01.slatic.net/p/33a4014f692ef3e8327d0279e7bac87a.png,4.935483870967742,31,Nam Định,thanhdo_printing,No Brand,46000,50000,113 Đã bán,True,https://www.lazada.vn//www.lazada.vn/products/ao-thun-in-hinh-theo-yeu-cau-dong-phuc-nhom-tap-the-lop-bo-do-da-ngoai-do-di-bien-teambuiding-i1896066767.html
